project_id,project_name,agency,legacy_ocms_code,state,approval_start_date,actual_completion_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,report_month,source_file,source_table
N04000075,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,AAI,N04000075,N04000075,,2021-10,2021-10,,951.28,,1084.94,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N04000086,"CO CIVIL AVIATION REASEARCH ORG. (PH-II) AT BEGUMPET AIRPORT, HYDRABAD",PH-II,N04000086,AAI,,2022-05,2022-05,,353.61,,303.22,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N04000089,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT PETROLEUM,AAI,N04000089,N04000089,,2020-02,2020-02,,177.1,,143.08,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N16000343,REVAMPING OF FACILITIES AT VIZAG TERMINAL,IOCL,N16000343,N16000343,,2022-04,2022-04,,355.0,,249.0,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N16000358,MUMBAI HIGH NORTH REDEVELOPMENT PHASE-IV,ONGC,N16000358,N16000358,,2022-03,2022-03,,3228.8,,3867.19,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N16000413,AUGMENTATION OF FACILITIES AT THE EXISTING RAIPUR DEPOT POWER,HPCL,N16000413,N16000413,,2024-03,2024-03,,456.0,,271.44,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N18000338,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART C,PGCIL,N18000338,N18000338,,2025-03,2025-03,,186.19,,91.53,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N18000354,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME XXVII,PGCIL,N18000354,N18000354,,2024-09,2024-09,,271.69,,192.03,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX ROAD TRANSPORT AND HIGHWAYS,PGCIL,N18000355,N18000355,,2025-03,2025-03,,260.3,,197.79,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24000552,4-LANNING EXISTING KM 189.700 TO 237.00] HASSAN TO MARANAHALLY,NHAI,N24000552,N24000552,,2019-03,2019-03,,701.4,,923.99,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24000796,CONSTRUCTION OF NH-24 EXTENSION 4-LANE BYPASS STARTING FROM BEHTA ROAD AND TERMINATING AT SITAPUR RO,NHAI,N24000796,N24000796,,2021-12,2021-12,,1117.84,,1960.91,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24000859,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,N24000859,N24000859,,2023-06,2023-06,,642.96,,686.42,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24000941,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER OF MOGA (DESIGN CH 0.000) TO MAKHU (DES,DESIGN CH 0.000,N24000941,MoRTH,,2020-08,2020-08,,293.64,,295.46,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24000948,CONSTRUCTION OF 2 LANING OF EXISTING HUNLI- ANINI ROAD ON EPC BASIS FROM DESIGN KM 53.500 TO KM 92.50,NHIDCL,N24000948,N24000948,,2019-12,2019-12,,568.92,,508.65,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001027,SHAHPUR PATGAON SECTION I,MoRTH,N24001027,N24001027,,2019-12,2019-12,,150.79,,81.14,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001039,JINTUR TO PARBHANI,MoRTH,N24001039,N24001039,,,,,356.66,,209.48,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001081,HIMAYATNAGAR TO PHULSAWANGI,MoRTH,N24001081,N24001081,,2019-12,2019-12,,294.87,,183.17,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001095,SATARA MURVAD PILLOV PANDHARPUR,MoRTH,N24001095,N24001095,,,,,388.44,,240.05,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001097,SELDOH TO PANVAR,MoRTH,N24001097,N24001097,,2020-05,2020-05,,404.33,,140.65,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001111,KOLHA TO NASRATPUR,MoRTH,N24001111,N24001111,,2019-04,2019-04,,281.78,,77.83,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001127,KUMBHARI PHTA TO DEULGAON RAJA,MoRTH,N24001127,N24001127,,2019-06,2019-06,,406.51,,340.26,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001277,"CONSTRUCTION OF CHHIATHLANG -SERCHHIP BYPASS Total 22,819.05 18,457.95",PKG-1,N24001277,NHIDCL,,2022-10,2022-10,,275.02,,237.68,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001451,DIBRUGARH-LAHOAL-CHABUA BYPASS PACKAGE-1,NHIDCL,N24001451,N24001451,,2024-07,2024-07,,215.27,,105.4,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001675,6L OF MH/KN BORDER (NIMBAL VILLAGE) TO KN/TS BORDER (SINGNODI VILLAGE) FROM KM. 162.5 TO KM. 203.100,NIMBAL VILLAGE,N24001675,SINGNODI VILLAGE,,2025-05,2025-05,,1732.73,,754.79,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001683,AURAD - BIDAR KM 0.00 TO KM 45.878,NHAI,N24001683,N24001683,,2023-04,2023-04,,912.37,,255.94,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001686,FOUR LANING OF BANAVARA TO BETTADAHALLI SECTION FROM KM. 119+790 (DESIGN KM. 121+900) TO KM. 166+100,NHAI,N24001686,N24001686,,2023-03,2023-03,,1065.06,,736.55,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001691,FOUR LANING OF KARADI TO BANAVARA SECTION FROM KM. 66+540 (DESIGN KM. 65+195) TO KM. 119+790,NHAI,N24001691,N24001691,,2021-10,2021-10,,1225.24,,1043.0,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001728,"IMPROVEMENT AND UP-GRADATION OF EXISTING ROAD TO 4L PS FROM KM 175.080 TO 229.070, FROM END OF HARDO",NHAI,N24001728,N24001728,,2025-07,2025-07,,1138.81,,528.1,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001783,CONSTRUCTION OF 8LANE EXPRESSWAY NE4 STARTING BEFORE KMP EXPRESSWAY AND ENDS AT CH. 47+000 NEAR KHAN,NHAI,N24001783,N24001783,,2021-09,2021-09,,2252.75,,1223.07,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001791,SANCHORE - SANTALPUR FROM KM 4.888 - KM 35.000 OF NH-754K (AJ-RGBS-PACKAGE-1),AJ-RGBS-PACKAGE-1,N24001791,NHAI,,2023-06,2023-06,,606.51,,453.89,2025-04,FRApril2025.pdf,Table 3: Completed Projects
N24001931,4 LANING OF BATHALAPALLI TO MUDIGUBBA SECTION BATH,DESIGN CHAINAGE KM. 96.300 TO 129.300,N24001931,MoRTH,,2025-02,2025-02,,536.0,,334.06,2025-04,FRApril2025.pdf,Table 3: Completed Projects
