project_id,project_name,agency,prediction_month,physical_progress_t,expenditure_ratio_pct_t,divergence_spread_t,schedule_slippage_months_t,execution_stress_index,selected_integrated_risk,risk_band,off_diagonal_type
N24000741,CONSTRUCTION AND UPGRADATION OF EXISTING ROAD TO 2 LANE WITH PAVED SHOULDER FROM KM 368.00 TO KM 399 3-2018 11/2020,NHIDCL,2025-04,97.31,184.17848419671176,86.86848419671176,40.0,0.61,0.1924,LOW,HIGH_STRESS_LOW_INTEGRATED_RISK
N24000742,2 LANE WITH PAVED SHOULDER FROM KM 399.00 TO KM 430.00 OF KARANPARYAG TO CHAMOLI UNDER CHARDHAM PARI 3-2018 11/2020 {3/2024},NHIDCL,2025-04,98.93,168.09797699325662,69.16797699325662,40.0,0.5944,0.1488,LOW,HIGH_STRESS_LOW_INTEGRATED_RISK
N24000743,2 LANE WITH PAVED SHOULDER FROM KM 430.00 TO KM 468.00 OF CHAMOLI TO PAINI UNDER CHARDHAM PARIYOJNA 3-2018 11/2020 {3/2024},NHIDCL,2025-04,99.88,164.98897517016584,65.10897517016585,40.0,0.5836,0.0985,LOW,HIGH_STRESS_LOW_INTEGRATED_RISK
220100188,"NANGALDAM-TALWARA(NL),NR 3-1981 12/2025",NR,2025-05,75.0,266.07462686567163,191.07462686567163,18.0,0.5731,0.5237,MODERATE,HIGH_STRESS_LOW_INTEGRATED_RISK
618376,IMPROVEMENT/WIDENING TO 2-LANE WITH PAVED SHOULDER FROM (DESIGN KM 10.670 TO KM 37.550) BETWEEN SHIL 11-2020 12/2023,NHIDCL,2025-05,31.0,82.58065743418051,51.58065743418051,32.0,0.5881,0.5359,MODERATE,HIGH_STRESS_LOW_INTEGRATED_RISK
618546,CONSTRUCTION OF TUNNELS/VIADUCTS AT IDENTIFIED SLIDING/SLIP ZONES AT KM 130.550 TO KM.130.750; KM. 9-2021 10/2023,NHAI,2025-05,19.88,77.29452209707333,57.41452209707333,26.0,0.5961,0.5465,MODERATE,HIGH_STRESS_LOW_INTEGRATED_RISK
618909,REHABILITATION AND UP GRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED SHOULDER CONFIGURATION IN PURU 3-2018 9/2022,NHAI,2025-05,96.13,1666.2741776083585,1570.1441776083584,39.0,0.62,0.5182,MODERATE,HIGH_STRESS_LOW_INTEGRATED_RISK
705765,GOMOH - FLYOVER FOR DOWN TRAINS 1-2018 3/2023,ECR,2025-05,45.0,81.89982162261906,36.89982162261906,36.0,0.5733,0.3732,MODERATE,HIGH_STRESS_LOW_INTEGRATED_RISK
709747,Bagodara Solar Power Project 5-2021 10/2022,SJVN,2025-05,51.22,93.58774127007511,42.36774127007512,38.0,0.5865,0.4073,MODERATE,HIGH_STRESS_LOW_INTEGRATED_RISK
N24001092,SATARA TO MHASWAD 1-2017 7/2019,MoRTH,2025-05,,56.56352339852477,56.56352339852477,53.0,0.5908,0.3385,MODERATE,HIGH_STRESS_LOW_INTEGRATED_RISK
102000,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 102 TO KM 13 3-2021 7/2024,BRO,2025-04,95.0,53.74003487792726,-41.25996512207274,8.0,0.3025,0.6323,HIGH,LOW_STRESS_HIGH_INTEGRATED_RISK
