target,feature_name,feature_family,importance_score
cost_overrun_state_3m,cost_escalation_pct_t,PAIMANA Core,0.184769
cost_overrun_state_3m,has_cost_revision_t,PAIMANA Core,0.139802
cost_overrun_state_3m,largest_cost_revision_pct_to_date_t,PAIMANA Core,0.115321
cost_overrun_state_3m,cumulative_expenditure_t,PAIMANA Core,0.025236
cost_overrun_state_3m,project_age_months_t,PAIMANA Core,0.021986
cost_overrun_state_3m,agency_mean_expenditure_ratio_t,PAIMANA Core,0.021548
cost_overrun_state_3m,average_progress_to_date_t,PAIMANA Core,0.020566
cost_overrun_state_3m,revised_cost_t,PAIMANA Core,0.019581
cost_overrun_state_3m,expenditure_ratio_pct_t,PAIMANA Core,0.019556
cost_overrun_state_3m,cumulative_expenditure_lag1,PAIMANA Core,0.01891
cost_overrun_state_3m,physical_progress_t,PAIMANA Core,0.018132
cost_overrun_state_3m,min_progress_to_date_t,PAIMANA Core,0.017873
cost_overrun_state_3m,max_progress_to_date_t,PAIMANA Core,0.017856
cost_overrun_state_3m,remaining_physical_progress_t,PAIMANA Core,0.015334
cost_overrun_state_3m,months_to_original_doc_t,PAIMANA Core,0.012814
cost_overrun_state_3m,agency_mean_cost_t,PAIMANA Core,0.012318
cost_overrun_state_3m,original_cost_log,PAIMANA Core,0.011519
cost_overrun_state_3m,agency_median_progress_t,PAIMANA Core,0.01105
cost_overrun_state_3m,planned_duration_months,PAIMANA Core,0.010782
cost_overrun_state_3m,agency_mean_progress_t,PAIMANA Core,0.009949
cost_overrun_state_3m,hist_agency_mean_delay_months_lifetime_t,OCMS Historical Prior,0.009655
cost_overrun_state_3m,agency_active_project_count_t,PAIMANA Core,0.009362
cost_overrun_state_3m,cost_reduction_pct_as_of_t,PAIMANA Core,0.008657
cost_overrun_state_3m,hist_sector_mean_delay_months_3y_t,OCMS Historical Prior,0.008563
cost_overrun_state_3m,cumulative_expenditure_lag3,PAIMANA Core,0.008546
cost_overrun_state_3m,hist_linked_pre_paimana_cost_revision_count_t,OCMS Historical Prior,0.007819
cost_overrun_state_3m,physical_progress_lag1,PAIMANA Core,0.0078
cost_overrun_state_3m,hist_agency_delay_rate_smoothed_5y_t,OCMS Historical Prior,0.006814
cost_overrun_state_3m,hist_agency_median_delay_months_lifetime_t,OCMS Historical Prior,0.006512
cost_overrun_state_3m,schedule_slippage_months_t,PAIMANA Core,0.006245
cost_overrun_state_3m,state_mean_progress_t,PAIMANA Core,0.006144
cost_overrun_state_3m,hist_agency_delay_rate_smoothed_3y_t,OCMS Historical Prior,0.00554
cost_overrun_state_3m,avg_monthly_expenditure_to_date_t,PAIMANA Core,0.00548
cost_overrun_state_3m,state_mean_cost_t,PAIMANA Core,0.005411
cost_overrun_state_3m,revised_doc_t_2033-09,PAIMANA Core,0.005352
cost_overrun_state_3m,state_median_progress_t,PAIMANA Core,0.005254
cost_overrun_state_3m,state_active_project_count_t,PAIMANA Core,0.004919
cost_overrun_state_3m,months_to_revised_doc_t,PAIMANA Core,0.004803
cost_overrun_state_3m,physical_progress_lag3,PAIMANA Core,0.004798
cost_overrun_state_3m,hist_agency_delay_rate_smoothed_lifetime_t,OCMS Historical Prior,0.004761
cost_overrun_state_3m,state_mean_expenditure_ratio_t,PAIMANA Core,0.004528
cost_overrun_state_3m,hist_linked_pre_paimana_observation_months_t,OCMS Historical Prior,0.004355
cost_overrun_state_3m,first_observed_month_2025-07,PAIMANA Core,0.004095
cost_overrun_state_3m,physical_progress_lag2,PAIMANA Core,0.003948
cost_overrun_state_3m,monthly_expenditure_delta_t,PAIMANA Core,0.003829
cost_overrun_state_3m,focused_cohort_indicator_t,PAIMANA Core,0.003781
cost_overrun_state_3m,progress_std_to_date_t,PAIMANA Core,0.003592
cost_overrun_state_3m,first_observed_month_2025-06,PAIMANA Core,0.003331
cost_overrun_state_3m,expenditure_change_1m_t,PAIMANA Core,0.003311
cost_overrun_state_3m,expenditure_velocity_3m_t,PAIMANA Core,0.003251
cost_overrun_state_3m,hist_agency_cost_overrun_count_lifetime_t,OCMS Historical Prior,0.003033
cost_overrun_state_3m,hist_agency_cost_obs_count_lifetime_t,OCMS Historical Prior,0.002899
cost_overrun_state_3m,hist_sector_cost_overrun_rate_raw_3y_t,OCMS Historical Prior,0.00286
cost_overrun_state_3m,expenditure_change_3m_t,PAIMANA Core,0.002791
cost_overrun_state_3m,missing_physical_progress_t,PAIMANA Core,0.002775
cost_overrun_state_3m,cost_revision_count_to_date_t,PAIMANA Core,0.002733
cost_overrun_state_3m,hist_agency_cost_overrun_rate_smoothed_3y_t,OCMS Historical Prior,0.002519
cost_overrun_state_3m,hist_agency_cost_overrun_count_5y_t,OCMS Historical Prior,0.002428
cost_overrun_state_3m,expenditure_growth_rate_t,PAIMANA Core,0.002358
cost_overrun_state_3m,hist_agency_completed_count_lifetime_t,OCMS Historical Prior,0.002347
cost_overrun_state_3m,hist_agency_mean_cost_overrun_pct_3y_t,OCMS Historical Prior,0.002306
cost_overrun_state_3m,hist_agency_delay_count_lifetime_t,OCMS Historical Prior,0.002196
