agency,as_of_date,window,completed_count,delay_count,delay_rate_raw,delay_rate_smoothed,mean_delay_months,median_delay_months,cost_obs_count,cost_overrun_count,cost_overrun_rate_raw,cost_overrun_rate_smoothed,mean_cost_overrun_pct,median_cost_overrun_pct,max_source_date
"(NATIONAL 
HIGHWAYS AUTHORITY OF INDIA",2025-04,lifetime,1,1,1.0,0.9619358346927678,58.0,58.0,0,0,,0.631578947368421,,,2023-03
"(NATIONAL 
HIGHWAYS AUTHORITY OF INDIA",2025-04,10y,1,1,1.0,0.9590909090909091,58.0,58.0,0,0,,0.631578947368421,,,2023-03
"(NATIONAL 
HIGHWAYS AUTHORITY OF INDIA",2025-04,5y,1,1,1.0,0.9597701149425287,58.0,58.0,0,0,,0.631578947368421,,,2023-03
"(NATIONAL 
HIGHWAYS AUTHORITY OF INDIA",2025-04,3y,1,1,1.0,0.9465811965811967,58.0,58.0,0,0,,0.631578947368421,,,2023-03
00/000) TO GANGAKHED (30/400,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
00/000) TO GANGAKHED (30/400,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
00/000) TO GANGAKHED (30/400,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
00/000) TO GANGAKHED (30/400,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
1,2025-04,lifetime,1,1,1.0,0.9038461538461539,26.0,26.0,0,0,,0.631578947368421,,,2015-03
1,2025-04,10y,0,0,,1.0,,,0,0,,0.631578947368421,,,
1,2025-04,5y,0,0,,0.8380510440835267,,,0,0,,0.631578947368421,,,
1,2025-04,3y,0,0,,0.8380510440835267,,,0,0,,0.631578947368421,,,
1.35MTY,2025-04,lifetime,1,1,1.0,0.9612403100775194,21.0,21.0,0,0,,0.631578947368421,,,2015-12
1.35MTY,2025-04,10y,1,1,1.0,0.9537037037037037,21.0,21.0,0,0,,0.631578947368421,,,2015-12
1.35MTY,2025-04,5y,0,0,,0.95,,,0,0,,0.631578947368421,,,
1.35MTY,2025-04,3y,0,0,,1.0,,,0,0,,0.631578947368421,,,
1.50 MTY,2025-04,lifetime,1,1,1.0,0.9612403100775194,41.0,41.0,0,0,,0.631578947368421,,,2019-08
1.50 MTY,2025-04,10y,1,1,1.0,0.9537037037037037,41.0,41.0,0,0,,0.631578947368421,,,2019-08
1.50 MTY,2025-04,5y,0,0,,0.95,,,0,0,,0.631578947368421,,,
1.50 MTY,2025-04,3y,0,0,,1.0,,,0,0,,0.631578947368421,,,
1.84 MTY,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
