project_id,legacy_ocms_code,as_of_date,pre_paimana_observation_months,pre_paimana_schedule_revision_count,pre_paimana_cost_revision_count,pre_paimana_initial_cost,pre_paimana_latest_known_cost,pre_paimana_max_cost_escalation_pct,pre_paimana_initial_doc,pre_paimana_latest_doc,pre_paimana_max_schedule_slippage_months,max_source_date
060100093,060100093,2025-04,11,1,1,25.0,35.0,40.0,2014-03,2023-03,108.0,2024-03
101280,N24000979,2025-04,0,0,0,,,0.0,,,0.0,
102000,N24001897,2025-04,1,0,0,2.0,2.0,0.0,2024-07,2024-07,0.0,2024-03
105236,N24001476,2025-04,2,0,0,4.0,4.0,0.0,2022-09,2022-09,0.0,2024-03
10980,N24001745,2025-04,2,0,0,6.0,6.0,0.0,2025-07,2025-07,0.0,2024-03
120000,N24001957,2025-04,1,0,0,2.0,2.0,0.0,2024-07,2024-07,0.0,2024-03
120250,N24001632,2025-04,2,0,0,24001632.0,24001632.0,0.0,2024-05,2024-05,0.0,2024-03
12800,N24002156,2025-04,0,0,0,,,0.0,,,0.0,
129000,N24001846,2025-04,2,0,0,6.0,6.0,0.0,2025-10,2025-10,0.0,2024-03
12920,N24002128,2025-04,0,0,0,,,0.0,,,0.0,
13000,N24002148,2025-04,0,0,0,,,0.0,,,0.0,
132664,N24001477,2025-04,2,0,1,4.0,1635.0,40775.0,2022-09,2022-09,0.0,2024-03
134950,N24001899,2025-04,1,0,0,2.0,2.0,0.0,2024-07,2024-07,0.0,2024-03
14200,N24001998,2025-04,1,0,0,4.0,4.0,0.0,2025-08,2025-08,0.0,2024-03
14380,N24002231,2025-04,0,0,0,,,0.0,,,0.0,
144020,N24002097,2025-04,1,0,0,4.0,4.0,0.0,2025-09,2025-09,0.0,2024-03
149476,N24002169,2025-04,0,0,0,,,0.0,,,0.0,
150000,N24001925,2025-04,0,0,0,,,0.0,,,0.0,
151330,N24001335,2025-04,3,0,2,1182.0,1210.0,2.3688663282571913,2023-12,2023-12,0.0,2024-03
15500,N24002154,2025-04,0,0,0,,,0.0,,,0.0,
159400,N24002173,2025-04,0,0,0,,,0.0,,,0.0,
160000,N24001847,2025-04,2,0,0,6.0,6.0,0.0,2025-11,2025-11,0.0,2024-03
165500,N24001958,2025-04,1,0,0,2.0,2.0,0.0,2024-10,2024-10,0.0,2024-03
170700,N24001953,2025-04,1,0,0,2.0,2.0,0.0,2024-09,2024-09,0.0,2024-03
176000,N24001848,2025-04,2,0,0,6.0,6.0,0.0,2025-10,2025-10,0.0,2024-03
180100210,180100210,2025-04,11,0,2,180100210.0,351.0,0.0,2009-09,2009-09,0.0,2024-03
180100221,180100221,2025-04,11,0,2,180100221.0,344.0,0.0,2010-09,2010-09,0.0,2024-03
180100242,180100242,2025-04,11,2,0,3.0,3.0,0.0,2009-12,2011-10,22.0,2024-03
188830,N24001415,2025-04,3,0,1,1289.0,7.0,0.0,2024-04,2024-04,0.0,2024-03
19220,N24001882,2025-04,1,0,0,463.0,463.0,0.0,2024-10,2024-10,0.0,2024-03
20223,N24002110,2025-04,1,0,0,4.0,4.0,0.0,2026-05,2026-05,0.0,2024-03
203500,N24002122,2025-04,0,0,0,,,0.0,,,0.0,
220100181,220100181,2025-04,11,5,2,220100181.0,220100181.0,0.0,2011-04,2021-03,119.0,2024-03
220100188,220100188,2025-04,11,0,0,220100188.0,220100188.0,0.0,2012-07,2012-07,0.0,2024-03
220100232,220100232,2025-04,11,0,1,220100232.0,655.0,0.0,2008-05,2008-05,0.0,2024-03
220100257,220100257,2025-04,11,6,0,220100257.0,220100257.0,0.0,2000-04,2026-12,320.0,2024-03
220100265,220100265,2025-04,11,3,1,220100265.0,608.0,0.0,2011-04,2009-03,119.0,2024-03
220100272,220100272,2025-04,11,1,0,220100272.0,220100272.0,0.0,2009-12,2019-03,111.0,2024-03
