sector,as_of_date,window,completed_count,delay_count,delay_rate_raw,mean_delay_months,median_delay_months,cost_obs_count,cost_overrun_count,cost_overrun_rate_raw,mean_cost_overrun_pct,median_cost_overrun_pct,max_source_date
ATOMIC ENERGY,2025-04,lifetime,1,1,1.0,22.0,22.0,0,0,,,,2013-02
ATOMIC ENERGY,2025-04,10y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2025-04,5y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2025-04,3y,0,0,,,,0,0,,,,
CENTRAL SECTOR,2025-04,lifetime,674,585,0.9543230016313213,44.35562805872757,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2025-04,10y,609,523,0.9509090909090909,44.52909090909091,41.0,0,0,,,,2024-04
CENTRAL SECTOR,2025-04,5y,470,414,0.9517241379310345,41.95862068965517,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2025-04,3y,340,292,0.9358974358974359,38.25,39.0,0,0,,,,2024-04
CIVIL AVIATION,2025-04,lifetime,12,12,1.0,40.416666666666664,33.0,0,0,,,,2022-11
CIVIL AVIATION,2025-04,10y,7,7,1.0,55.57142857142857,41.0,0,0,,,,2022-11
CIVIL AVIATION,2025-04,5y,2,2,1.0,88.5,88.5,0,0,,,,2022-11
CIVIL AVIATION,2025-04,3y,1,1,1.0,41.0,41.0,0,0,,,,2022-11
COAL,2025-04,lifetime,43,41,0.9534883720930233,41.46511627906977,33.0,0,0,,,,2024-04
COAL,2025-04,10y,36,34,0.9444444444444444,44.44444444444444,35.5,0,0,,,,2024-04
COAL,2025-04,5y,20,19,0.95,46.8,33.5,0,0,,,,2024-04
COAL,2025-04,3y,7,7,1.0,58.714285714285715,37.0,0,0,,,,2024-04
DEFENCE,2025-04,lifetime,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2025-04,10y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2025-04,5y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2025-04,3y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
HEALTH AND FAMILY WELFARE,2025-04,lifetime,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2025-04,10y,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2025-04,5y,13,13,1.0,64.6923076923077,63.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2025-04,3y,13,13,1.0,64.6923076923077,63.0,0,0,,,,2024-02
MINES,2025-04,lifetime,3,3,1.0,20.0,12.0,0,0,,,,2017-11
MINES,2025-04,10y,2,2,1.0,12.0,12.0,0,0,,,,2017-11
MINES,2025-04,5y,0,0,,,,0,0,,,,
MINES,2025-04,3y,0,0,,,,0,0,,,,
PETROLEUM,2025-04,lifetime,302,260,0.87248322147651,19.174496644295303,18.0,0,0,,,,2024-05
PETROLEUM,2025-04,10y,230,192,0.8384279475982532,17.1353711790393,17.0,0,0,,,,2024-05
PETROLEUM,2025-04,5y,146,120,0.8275862068965517,14.36551724137931,18.0,0,0,,,,2024-05
PETROLEUM,2025-04,3y,97,75,0.78125,12.697916666666666,20.0,0,0,,,,2024-05
PORTS,2025-04,lifetime,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2025-04,10y,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2025-04,5y,0,0,,,,0,0,,,,
PORTS,2025-04,3y,0,0,,,,0,0,,,,
POWER,2025-04,lifetime,249,220,0.8835341365461847,28.04016064257028,20.0,0,0,,,,2024-04
POWER,2025-04,10y,179,162,0.9050279329608939,32.42458100558659,25.0,0,0,,,,2024-04
POWER,2025-04,5y,64,62,0.96875,37.890625,28.0,0,0,,,,2024-04
POWER,2025-04,3y,35,33,0.9428571428571428,31.942857142857143,20.0,0,0,,,,2024-04
RAILWAYS,2025-04,lifetime,197,158,0.9461077844311377,67.30538922155688,48.0,0,0,,,,2024-04
RAILWAYS,2025-04,10y,148,125,0.9765625,72.1953125,48.0,0,0,,,,2024-04
RAILWAYS,2025-04,5y,84,77,0.9871794871794872,63.794871794871796,38.0,0,0,,,,2024-04
RAILWAYS,2025-04,3y,37,32,0.9696969696969697,61.96969696969697,43.0,0,0,,,,2024-04
ROAD TRANSPORT & HIGHWAYS,2025-04,lifetime,66,64,1.0,41.75,40.5,0,0,,,,2013-03
ROAD TRANSPORT & HIGHWAYS,2025-04,10y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2025-04,5y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2025-04,3y,0,0,,,,0,0,,,,
ROAD TRANSPORT AND HIGHWAYS,2025-04,lifetime,304,274,0.9750889679715302,52.8220640569395,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2025-04,10y,298,269,0.9781818181818182,53.192727272727275,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2025-04,5y,215,189,0.9742268041237113,54.95360824742268,49.5,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2025-04,3y,163,144,0.972972972972973,51.1554054054054,49.0,0,0,,,,2024-04
SHIPPING,2025-04,lifetime,26,23,0.8846153846153846,31.307692307692307,14.0,0,0,,,,2018-03
SHIPPING,2025-04,10y,5,5,1.0,68.8,105.0,0,0,,,,2018-03
SHIPPING,2025-04,5y,0,0,,,,0,0,,,,
SHIPPING,2025-04,3y,0,0,,,,0,0,,,,
STEEL,2025-04,lifetime,45,42,0.9767441860465116,32.116279069767444,30.0,0,0,,,,2023-09
STEEL,2025-04,10y,33,33,1.0,35.24242424242424,35.0,0,0,,,,2023-09
STEEL,2025-04,5y,12,12,1.0,44.5,40.0,0,0,,,,2023-09
STEEL,2025-04,3y,2,2,1.0,71.5,71.5,0,0,,,,2023-09
TELECOMMUNICATIONS,2025-04,lifetime,61,61,1.0,34.950819672131146,29.0,0,0,,,,2020-03
TELECOMMUNICATIONS,2025-04,10y,10,10,1.0,23.7,11.0,0,0,,,,2020-03
TELECOMMUNICATIONS,2025-04,5y,0,0,,,,0,0,,,,
TELECOMMUNICATIONS,2025-04,3y,0,0,,,,0,0,,,,
UNKNOWN,2025-04,lifetime,234,3,0.01282051282051282,-22.55982905982906,-8.0,95,60,0.631578947368421,10.313403091503414,6.527370790334228,2025-03
UNKNOWN,2025-04,10y,222,3,0.013513513513513514,-15.72972972972973,-5.5,84,55,0.6547619047619048,14.699607885499022,8.041238477029045,2025-03
UNKNOWN,2025-04,5y,181,3,0.016574585635359115,-13.817679558011049,-8.0,77,50,0.6493506493506493,16.163770475787583,8.019882625676162,2025-03
UNKNOWN,2025-04,3y,143,3,0.02097902097902098,-11.020979020979022,-9.0,62,37,0.5967741935483871,12.793881628072043,6.1281946309302215,2025-03
URBAN DEVELOPMENT,2025-04,lifetime,33,31,0.96875,39.5,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2025-04,10y,31,29,0.9666666666666667,39.3,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2025-04,5y,13,12,1.0,41.75,32.0,0,0,,,,2024-03
URBAN DEVELOPMENT,2025-04,3y,3,3,1.0,40.666666666666664,26.0,0,0,,,,2024-03
WATER RESOURCES,2025-04,lifetime,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2025-04,10y,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2025-04,5y,8,8,1.0,19.25,20.5,0,0,,,,2022-03
WATER RESOURCES,2025-04,3y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2025-05,lifetime,1,1,1.0,22.0,22.0,0,0,,,,2013-02
ATOMIC ENERGY,2025-05,10y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2025-05,5y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2025-05,3y,0,0,,,,0,0,,,,
CENTRAL SECTOR,2025-05,lifetime,674,585,0.9543230016313213,44.35562805872757,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2025-05,10y,609,523,0.9509090909090909,44.52909090909091,41.0,0,0,,,,2024-04
CENTRAL SECTOR,2025-05,5y,470,414,0.9517241379310345,41.95862068965517,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2025-05,3y,340,292,0.9358974358974359,38.25,39.0,0,0,,,,2024-04
CIVIL AVIATION,2025-05,lifetime,12,12,1.0,40.416666666666664,33.0,0,0,,,,2022-11
CIVIL AVIATION,2025-05,10y,7,7,1.0,55.57142857142857,41.0,0,0,,,,2022-11
CIVIL AVIATION,2025-05,5y,2,2,1.0,88.5,88.5,0,0,,,,2022-11
CIVIL AVIATION,2025-05,3y,1,1,1.0,41.0,41.0,0,0,,,,2022-11
COAL,2025-05,lifetime,43,41,0.9534883720930233,41.46511627906977,33.0,0,0,,,,2024-04
COAL,2025-05,10y,36,34,0.9444444444444444,44.44444444444444,35.5,0,0,,,,2024-04
COAL,2025-05,5y,20,19,0.95,46.8,33.5,0,0,,,,2024-04
COAL,2025-05,3y,7,7,1.0,58.714285714285715,37.0,0,0,,,,2024-04
DEFENCE,2025-05,lifetime,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2025-05,10y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2025-05,5y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2025-05,3y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
HEALTH AND FAMILY WELFARE,2025-05,lifetime,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2025-05,10y,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2025-05,5y,13,13,1.0,64.6923076923077,63.0,0,0,,,,2024-02
