ablation,feature,importance,rank
A_Full_Model,months_to_original_doc_t,0.281202,1
A_Full_Model,current_schedule_status_as_of_t_on_schedule,0.159164,2
A_Full_Model,current_schedule_status_as_of_t_past_due_breached,0.089484,3
A_Full_Model,physical_progress_t,0.045985,4
A_Full_Model,min_progress_to_date_t,0.041683,5
A_Full_Model,average_progress_to_date_t,0.04022,6
A_Full_Model,remaining_physical_progress_t,0.034661,7
A_Full_Model,schedule_slippage_months_t,0.027536,8
A_Full_Model,physical_progress_lag1,0.021482,9
A_Full_Model,expenditure_ratio_pct_t,0.021308,10
A_Full_Model,max_progress_to_date_t,0.019931,11
A_Full_Model,months_to_revised_doc_t,0.017521,12
A_Full_Model,project_age_months_t,0.016802,13
A_Full_Model,agency_active_project_count_t,0.016635,14
A_Full_Model,agency_mean_progress_t,0.014159,15
A_Full_Model,current_schedule_status_as_of_t_delayed_rescheduled,0.01251,16
A_Full_Model,agency_median_progress_t,0.011613,17
A_Full_Model,physical_progress_lag2,0.009659,18
A_Full_Model,planned_duration_months,0.008481,19
A_Full_Model,agency_mean_expenditure_ratio_t,0.006272,20
A_Full_Model,state_active_project_count_t,0.005975,21
A_Full_Model,agency_mean_cost_t,0.005671,22
A_Full_Model,cumulative_expenditure_lag1,0.005555,23
A_Full_Model,physical_progress_lag3,0.005255,24
A_Full_Model,cumulative_expenditure_t,0.005121,25
A_Full_Model,original_cost_crore,0.004634,26
A_Full_Model,original_cost_log,0.004416,27
A_Full_Model,revised_cost_t,0.004398,28
A_Full_Model,state_mean_progress_t,0.003578,29
A_Full_Model,reporting_structure_version_t_v2_focused_cohort,0.003268,30
A_Full_Model,cost_escalation_pct_t,0.003241,31
A_Full_Model,missing_revised_doc_t,0.003022,32
A_Full_Model,state_mean_cost_t,0.002631,33
A_Full_Model,state_mean_expenditure_ratio_t,0.002587,34
A_Full_Model,reporting_structure_version_t_v1_initial,0.002545,35
A_Full_Model,largest_cost_revision_pct_to_date_t,0.002504,36
A_Full_Model,has_revised_schedule_as_of_t,0.002452,37
A_Full_Model,has_cost_revision_t,0.002222,38
A_Full_Model,focused_cohort_indicator_t,0.002179,39
A_Full_Model,avg_monthly_expenditure_to_date_t,0.00216,40
A_Full_Model,progress_std_to_date_t,0.002159,41
A_Full_Model,state_median_progress_t,0.002111,42
A_Full_Model,consecutive_observation_count_t,0.001489,43
A_Full_Model,months_since_first_observed_t,0.001417,44
A_Full_Model,cumulative_expenditure_lag3,0.001389,45
A_Full_Model,expenditure_change_1m_t,0.001251,46
A_Full_Model,months_observed_to_date_t,0.001223,47
A_Full_Model,expenditure_growth_rate_t,0.001143,48
A_Full_Model,longest_stagnation_to_date_t,0.001122,49
A_Full_Model,schedule_revision_count_to_date_t,0.001068,50
A_Full_Model,cost_reduction_pct_as_of_t,0.001026,51
A_Full_Model,monthly_expenditure_delta_t,0.000985,52
A_Full_Model,expenditure_velocity_6m_t,0.000965,53
A_Full_Model,table_source_t_Table 7: All Ongoing Projects,0.000881,54
A_Full_Model,progress_change_3m_t,0.000857,55
A_Full_Model,months_since_last_schedule_revision_t,0.000857,55
A_Full_Model,months_since_last_cost_revision_t,0.000774,56
A_Full_Model,progress_velocity_1m_t,0.000767,57
A_Full_Model,expenditure_velocity_3m_t,0.000746,58
A_Full_Model,progress_change_2m_t,0.000715,59
A_Full_Model,months_since_last_progress_increase_t,0.000681,60
A_Full_Model,project_size_category_Medium (150-500Cr),0.000667,61
A_Full_Model,expenditure_change_3m_t,0.000634,62
A_Full_Model,progress_change_1m_t,0.000621,63
A_Full_Model,progress_velocity_6m_t,0.000621,63
A_Full_Model,progress_change_last_3m_t,0.000556,64
A_Full_Model,missing_expenditure_t,0.00053,65
A_Full_Model,progress_velocity_3m_t,0.000439,66
A_Full_Model,table_source_t_Table 6: All Ongoing Projects,0.000422,67
A_Full_Model,missing_physical_progress_t,0.000333,68
A_Full_Model,stagnant_2m_t,0.000331,69
A_Full_Model,project_size_category_Mega (>1000Cr),0.000324,70
A_Full_Model,table_source_t_Table 4: All Ongoing Projects,0.000201,71
A_Full_Model,months_since_last_observation_t,0.000186,72
A_Full_Model,project_size_category_Large (500-1000Cr),0.000176,73
A_Full_Model,project_size_category_Unknown,0.000162,74
A_Full_Model,missing_revised_cost_t,0.00015,75
A_Full_Model,cost_revision_count_to_date_t,0.000137,76
A_Full_Model,stagnant_3m_t,9.8e-05,77
A_Full_Model,observation_coverage_ratio_t,2.6e-05,78
A_Full_Model,negative_expenditure_delta_flag_t,2.2e-05,79
A_Full_Model,project_size_category_Small (<150Cr),8e-06,80
A_Full_Model,observation_gap_flag_t,7e-06,81
A_Full_Model,stagnant_6m_t,0.0,82
B_No_Deadline_Proximity,current_schedule_status_as_of_t_on_schedule,0.227917,1
B_No_Deadline_Proximity,current_schedule_status_as_of_t_past_due_breached,0.165909,2
B_No_Deadline_Proximity,min_progress_to_date_t,0.073396,3
B_No_Deadline_Proximity,average_progress_to_date_t,0.047952,4
B_No_Deadline_Proximity,schedule_slippage_months_t,0.043664,5
B_No_Deadline_Proximity,max_progress_to_date_t,0.039186,6
B_No_Deadline_Proximity,physical_progress_t,0.035791,7
B_No_Deadline_Proximity,remaining_physical_progress_t,0.023801,8
B_No_Deadline_Proximity,physical_progress_lag1,0.023345,9
B_No_Deadline_Proximity,expenditure_ratio_pct_t,0.022347,10
B_No_Deadline_Proximity,months_to_revised_doc_t,0.022068,11
B_No_Deadline_Proximity,project_age_months_t,0.021812,12
B_No_Deadline_Proximity,agency_active_project_count_t,0.020164,13
B_No_Deadline_Proximity,current_schedule_status_as_of_t_delayed_rescheduled,0.019097,14
B_No_Deadline_Proximity,agency_median_progress_t,0.017842,15
B_No_Deadline_Proximity,physical_progress_lag2,0.013958,16
B_No_Deadline_Proximity,planned_duration_months,0.013918,17
B_No_Deadline_Proximity,agency_mean_progress_t,0.01218,18
B_No_Deadline_Proximity,agency_mean_expenditure_ratio_t,0.011582,19
B_No_Deadline_Proximity,cumulative_expenditure_t,0.009616,20
B_No_Deadline_Proximity,cumulative_expenditure_lag1,0.007258,21
B_No_Deadline_Proximity,agency_mean_cost_t,0.006809,22
B_No_Deadline_Proximity,state_active_project_count_t,0.006617,23
B_No_Deadline_Proximity,original_cost_crore,0.00658,24
B_No_Deadline_Proximity,physical_progress_lag3,0.006321,25
B_No_Deadline_Proximity,original_cost_log,0.00605,26
B_No_Deadline_Proximity,revised_cost_t,0.00604,27
B_No_Deadline_Proximity,months_observed_to_date_t,0.004982,28
B_No_Deadline_Proximity,state_mean_progress_t,0.004923,29
B_No_Deadline_Proximity,missing_revised_doc_t,0.004498,30
B_No_Deadline_Proximity,state_mean_cost_t,0.004353,31
B_No_Deadline_Proximity,state_median_progress_t,0.004288,32
B_No_Deadline_Proximity,state_mean_expenditure_ratio_t,0.00353,33
B_No_Deadline_Proximity,progress_std_to_date_t,0.00344,34
B_No_Deadline_Proximity,largest_cost_revision_pct_to_date_t,0.003195,35
B_No_Deadline_Proximity,avg_monthly_expenditure_to_date_t,0.002837,36
B_No_Deadline_Proximity,focused_cohort_indicator_t,0.002826,37
B_No_Deadline_Proximity,reporting_structure_version_t_v2_focused_cohort,0.002731,38
B_No_Deadline_Proximity,reporting_structure_version_t_v1_initial,0.002722,39
B_No_Deadline_Proximity,has_revised_schedule_as_of_t,0.002666,40
B_No_Deadline_Proximity,cost_escalation_pct_t,0.002658,41
B_No_Deadline_Proximity,consecutive_observation_count_t,0.002431,42
B_No_Deadline_Proximity,months_since_first_observed_t,0.002384,43
B_No_Deadline_Proximity,monthly_expenditure_delta_t,0.002126,44
B_No_Deadline_Proximity,expenditure_change_1m_t,0.002116,45
B_No_Deadline_Proximity,expenditure_growth_rate_t,0.002089,46
B_No_Deadline_Proximity,expenditure_velocity_6m_t,0.00203,47
B_No_Deadline_Proximity,schedule_revision_count_to_date_t,0.001946,48
B_No_Deadline_Proximity,longest_stagnation_to_date_t,0.001821,49
B_No_Deadline_Proximity,expenditure_velocity_3m_t,0.001559,50
B_No_Deadline_Proximity,cumulative_expenditure_lag3,0.001486,51
B_No_Deadline_Proximity,expenditure_change_3m_t,0.001291,52
B_No_Deadline_Proximity,progress_velocity_1m_t,0.00128,53
B_No_Deadline_Proximity,months_since_last_cost_revision_t,0.001208,54
B_No_Deadline_Proximity,progress_change_2m_t,0.001173,55
B_No_Deadline_Proximity,months_since_last_progress_increase_t,0.001062,56
B_No_Deadline_Proximity,table_source_t_Table 7: All Ongoing Projects,0.001013,57
B_No_Deadline_Proximity,progress_change_1m_t,0.000833,58
B_No_Deadline_Proximity,progress_velocity_3m_t,0.000775,59
B_No_Deadline_Proximity,has_cost_revision_t,0.00077,60
B_No_Deadline_Proximity,cost_reduction_pct_as_of_t,0.00074,61
B_No_Deadline_Proximity,cost_revision_count_to_date_t,0.000726,62
B_No_Deadline_Proximity,progress_change_3m_t,0.000724,63
B_No_Deadline_Proximity,progress_change_last_3m_t,0.000694,64
B_No_Deadline_Proximity,progress_velocity_6m_t,0.000637,65
B_No_Deadline_Proximity,project_size_category_Mega (>1000Cr),0.000619,66
B_No_Deadline_Proximity,missing_expenditure_t,0.000593,67
B_No_Deadline_Proximity,table_source_t_Table 6: All Ongoing Projects,0.000578,68
B_No_Deadline_Proximity,project_size_category_Medium (150-500Cr),0.000563,69
B_No_Deadline_Proximity,months_since_last_schedule_revision_t,0.000562,70
B_No_Deadline_Proximity,project_size_category_Large (500-1000Cr),0.000559,71
B_No_Deadline_Proximity,table_source_t_Table 4: All Ongoing Projects,0.000485,72
B_No_Deadline_Proximity,missing_physical_progress_t,0.00046,73
B_No_Deadline_Proximity,months_since_last_observation_t,0.000449,74
B_No_Deadline_Proximity,missing_revised_cost_t,0.000378,75
B_No_Deadline_Proximity,stagnant_2m_t,0.000371,76
B_No_Deadline_Proximity,stagnant_3m_t,0.000325,77
B_No_Deadline_Proximity,observation_coverage_ratio_t,0.000115,78
B_No_Deadline_Proximity,observation_gap_flag_t,8.5e-05,79
B_No_Deadline_Proximity,project_size_category_Unknown,4e-05,80
B_No_Deadline_Proximity,project_size_category_Small (<150Cr),3e-05,81
