month,ablation,n_snapshots,positive_count,positive_rate,roc_auc,pr_auc,brier,precision,recall,f1,accuracy
2026-02,A_Full_Model,1909,1178,61.71,0.9915,0.9915,0.0578,0.9849,1.0,0.9924,0.9906
2026-02,B_No_Deadline_Proximity,1909,1178,61.71,0.9719,0.9827,0.0973,0.9643,0.9168,0.9399,0.9277
2026-02,C_No_Direct_Schedule_Status,1909,1178,61.71,0.9906,0.9904,0.0879,0.9735,0.9966,0.9849,0.9811
2026-02,D_No_Schedule_Derived,1909,1178,61.71,0.916,0.9342,0.1845,0.8856,0.8871,0.8863,0.8596
2026-02,E_Operational_State_Only,1909,1178,61.71,0.9418,0.9578,0.1206,0.8808,0.9287,0.9041,0.8785
2026-02,F_Conservative,1909,1178,61.71,0.916,0.9342,0.1845,0.8856,0.8871,0.8863,0.8596
2026-03,A_Full_Model,1878,1049,55.86,0.9537,0.9496,0.0779,0.8829,0.999,0.9374,0.9255
2026-03,B_No_Deadline_Proximity,1878,1049,55.86,0.9302,0.9353,0.108,0.8596,0.9218,0.8896,0.8722
2026-03,C_No_Direct_Schedule_Status,1878,1049,55.86,0.9451,0.9383,0.0956,0.8755,0.999,0.9332,0.9201
2026-03,D_No_Schedule_Derived,1878,1049,55.86,0.8747,0.8802,0.175,0.7905,0.9247,0.8524,0.8211
2026-03,E_Operational_State_Only,1878,1049,55.86,0.875,0.8654,0.1428,0.7809,0.9409,0.8534,0.8195
2026-03,F_Conservative,1878,1049,55.86,0.8747,0.8802,0.175,0.7905,0.9247,0.8524,0.8211
