bin_range,bin_lower,bin_upper,sample_count,sample_pct,mean_predicted_probability,observed_positive_rate,absolute_calibration_error,method,split
0.0-0.1,0.0,0.1,1245,32.88,0.0326,0.0008,0.0318,Uncalibrated_RF02,TEST_OOT
0.1-0.2,0.1,0.2,135,3.56,0.1322,0.0,0.1322,Uncalibrated_RF02,TEST_OOT
0.2-0.3,0.2,0.3,26,0.69,0.244,0.0,0.244,Uncalibrated_RF02,TEST_OOT
0.3-0.4,0.3,0.4,30,0.79,0.3769,0.7333,0.3565,Uncalibrated_RF02,TEST_OOT
0.4-0.5,0.4,0.5,122,3.22,0.4642,0.8361,0.3719,Uncalibrated_RF02,TEST_OOT
0.5-0.6,0.5,0.6,254,6.71,0.5534,0.8661,0.3128,Uncalibrated_RF02,TEST_OOT
0.6-0.7,0.6,0.7,553,14.6,0.6598,0.9168,0.2571,Uncalibrated_RF02,TEST_OOT
0.7-0.8,0.7,0.8,654,17.27,0.7367,0.9557,0.2189,Uncalibrated_RF02,TEST_OOT
0.8-0.9,0.8,0.9,316,8.34,0.8613,0.9557,0.0944,Uncalibrated_RF02,TEST_OOT
0.9-1.0,0.9,1.0,452,11.94,0.9427,0.9912,0.0485,Uncalibrated_RF02,TEST_OOT
0.0-0.1,0.0,0.1,1355,35.78,0.0085,0.0007,0.0078,Sigmoid_Platt_RF02,TEST_OOT
0.1-0.2,0.1,0.2,25,0.66,0.1385,0.0,0.1385,Sigmoid_Platt_RF02,TEST_OOT
0.2-0.3,0.2,0.3,15,0.4,0.2648,0.0,0.2648,Sigmoid_Platt_RF02,TEST_OOT
0.3-0.4,0.3,0.4,10,0.26,0.3505,0.0,0.3505,Sigmoid_Platt_RF02,TEST_OOT
0.4-0.5,0.4,0.5,1,0.03,0.4534,0.0,0.4534,Sigmoid_Platt_RF02,TEST_OOT
0.5-0.6,0.5,0.6,0,0.0,0.55,,,Sigmoid_Platt_RF02,TEST_OOT
0.6-0.7,0.6,0.7,24,0.63,0.6509,0.8333,0.1825,Sigmoid_Platt_RF02,TEST_OOT
0.7-0.8,0.7,0.8,36,0.95,0.7516,0.6667,0.0849,Sigmoid_Platt_RF02,TEST_OOT
0.8-0.9,0.8,0.9,158,4.17,0.8596,0.8481,0.0115,Sigmoid_Platt_RF02,TEST_OOT
0.9-1.0,0.9,1.0,2163,57.12,0.9813,0.9468,0.0344,Sigmoid_Platt_RF02,TEST_OOT
0.0-0.1,0.0,0.1,1405,37.1,0.0021,0.0007,0.0014,Isotonic_RF02,TEST_OOT
0.1-0.2,0.1,0.2,1,0.03,0.1087,0.0,0.1087,Isotonic_RF02,TEST_OOT
0.2-0.3,0.2,0.3,0,0.0,0.25,,,Isotonic_RF02,TEST_OOT
0.3-0.4,0.3,0.4,0,0.0,0.35,,,Isotonic_RF02,TEST_OOT
0.4-0.5,0.4,0.5,0,0.0,0.45,,,Isotonic_RF02,TEST_OOT
0.5-0.6,0.5,0.6,0,0.0,0.55,,,Isotonic_RF02,TEST_OOT
0.6-0.7,0.6,0.7,0,0.0,0.65,,,Isotonic_RF02,TEST_OOT
0.7-0.8,0.7,0.8,0,0.0,0.75,,,Isotonic_RF02,TEST_OOT
0.8-0.9,0.8,0.9,0,0.0,0.85,,,Isotonic_RF02,TEST_OOT
0.9-1.0,0.9,1.0,2381,62.87,0.9808,0.9349,0.0458,Isotonic_RF02,TEST_OOT
