model,feature,importance,rank
Gradient Boosted Trees,months_to_original_doc_t,0.495779,1
Gradient Boosted Trees,remaining_physical_progress_t,0.000508,2
Gradient Boosted Trees,physical_progress_t,0.000394,3
Gradient Boosted Trees,agency_mean_expenditure_ratio_t,0.00036,4
Gradient Boosted Trees,planned_duration_months,0.000292,5
Gradient Boosted Trees,project_age_months_t,0.00023,6
Gradient Boosted Trees,cost_escalation_pct_t,0.000215,7
Gradient Boosted Trees,avg_monthly_expenditure_to_date_t,0.000186,8
Gradient Boosted Trees,agency_mean_cost_t,0.000139,9
Gradient Boosted Trees,state_mean_expenditure_ratio_t,0.000135,10
Gradient Boosted Trees,expenditure_velocity_6m_t,0.000131,11
Gradient Boosted Trees,cumulative_expenditure_lag3,0.000128,12
Gradient Boosted Trees,physical_progress_lag1,0.000118,13
Gradient Boosted Trees,cumulative_expenditure_lag1,0.000106,14
Gradient Boosted Trees,state_mean_cost_t,9.3e-05,15
Gradient Boosted Trees,original_cost_crore,8e-05,16
Gradient Boosted Trees,project_size_category,5.2e-05,17
Gradient Boosted Trees,agency_median_progress_t,4.9e-05,18
Gradient Boosted Trees,current_schedule_status_as_of_t,4.7e-05,19
Gradient Boosted Trees,expenditure_growth_rate_t,4.5e-05,20
Gradient Boosted Trees,expenditure_change_3m_t,2.1e-05,21
Gradient Boosted Trees,progress_change_1m_t,1.8e-05,22
Gradient Boosted Trees,cost_revision_count_to_date_t,1.6e-05,23
Gradient Boosted Trees,agency_mean_progress_t,1.6e-05,23
Gradient Boosted Trees,stagnant_2m_t,1.3e-05,24
Gradient Boosted Trees,revised_cost_t,2e-06,25
Gradient Boosted Trees,original_cost_log,0.0,26
Gradient Boosted Trees,cumulative_expenditure_t,0.0,26
Gradient Boosted Trees,expenditure_ratio_pct_t,0.0,26
Gradient Boosted Trees,schedule_slippage_months_t,0.0,26
Gradient Boosted Trees,months_to_revised_doc_t,0.0,26
Gradient Boosted Trees,physical_progress_lag2,0.0,26
Gradient Boosted Trees,physical_progress_lag3,0.0,26
Gradient Boosted Trees,progress_change_2m_t,0.0,26
Gradient Boosted Trees,progress_change_3m_t,0.0,26
Gradient Boosted Trees,progress_velocity_1m_t,0.0,26
Gradient Boosted Trees,progress_velocity_3m_t,0.0,26
Gradient Boosted Trees,progress_velocity_6m_t,0.0,26
Gradient Boosted Trees,max_progress_to_date_t,0.0,26
Gradient Boosted Trees,min_progress_to_date_t,0.0,26
Gradient Boosted Trees,average_progress_to_date_t,0.0,26
Gradient Boosted Trees,progress_std_to_date_t,0.0,26
Gradient Boosted Trees,monthly_expenditure_delta_t,0.0,26
Gradient Boosted Trees,expenditure_change_1m_t,0.0,26
Gradient Boosted Trees,expenditure_velocity_3m_t,0.0,26
Gradient Boosted Trees,negative_expenditure_delta_flag_t,0.0,26
Gradient Boosted Trees,stagnant_3m_t,0.0,26
Gradient Boosted Trees,stagnant_6m_t,0.0,26
Gradient Boosted Trees,months_since_last_progress_increase_t,0.0,26
Gradient Boosted Trees,longest_stagnation_to_date_t,0.0,26
Gradient Boosted Trees,progress_change_last_3m_t,0.0,26
Gradient Boosted Trees,has_cost_revision_t,0.0,26
Gradient Boosted Trees,months_since_last_cost_revision_t,0.0,26
Gradient Boosted Trees,largest_cost_revision_pct_to_date_t,0.0,26
Gradient Boosted Trees,cost_reduction_pct_as_of_t,0.0,26
Gradient Boosted Trees,has_revised_schedule_as_of_t,0.0,26
Gradient Boosted Trees,schedule_revision_count_to_date_t,0.0,26
Gradient Boosted Trees,months_since_last_schedule_revision_t,0.0,26
Gradient Boosted Trees,months_observed_to_date_t,0.0,26
Gradient Boosted Trees,months_since_first_observed_t,0.0,26
Gradient Boosted Trees,observation_coverage_ratio_t,0.0,26
Gradient Boosted Trees,consecutive_observation_count_t,0.0,26
