temporal_split,feature_name,pos_sample_count,neg_sample_count,pos_mean,pos_median,neg_mean,neg_median,standardized_diff
TRAIN,original_cost_crore,485,4839,2592.45,1030.65,2669.45,758.09,-0.013
TRAIN,cost_escalation_pct_t,485,4839,5733.04,0.0,437.67,0.0,0.555
TRAIN,cumulative_expenditure_t,485,4839,2079.4,727.29,1540.29,303.5,0.122
TRAIN,expenditure_ratio_pct_t,485,4839,403.9,62.27,53.99,43.1,0.294
TRAIN,physical_progress_t,485,4839,59.57,67.0,49.22,50.75,0.302
TRAIN,remaining_physical_progress_t,485,4839,40.43,33.0,50.78,49.25,-0.302
TRAIN,project_age_months_t,485,4839,104.18,91.0,71.04,53.0,0.525
TRAIN,planned_duration_months,485,4839,96.82,83.0,72.91,59.0,0.419
TRAIN,months_to_original_doc_t,485,4839,-10.24,-2.0,0.06,4.0,-0.252
TRAIN,schedule_slippage_months_t,485,4839,18.91,5.0,16.53,1.0,0.07
TRAIN,progress_velocity_3m_t,485,4839,0.27,0.64,1.35,0.66,-0.306
TRAIN,monthly_expenditure_delta_t,485,4839,-272.53,6.33,84.68,2.1,-0.186
TRAIN,expenditure_growth_rate_t,485,4839,15.64,0.01,11.69,0.01,0.024
TRAIN,progress_velocity_1m_t,485,4839,0.33,0.0,1.47,0.0,-0.16
VALIDATION,original_cost_crore,22,3019,1505.5,972.67,1883.3,698.4,-0.082
VALIDATION,cost_escalation_pct_t,22,3019,3.55,0.0,106.97,0.0,-0.084
VALIDATION,cumulative_expenditure_t,22,3019,865.39,400.4,1137.48,243.51,-0.066
VALIDATION,expenditure_ratio_pct_t,22,3019,54.48,59.64,50.49,37.31,0.014
VALIDATION,physical_progress_t,22,3019,58.86,66.0,55.9,65.0,0.083
VALIDATION,remaining_physical_progress_t,22,3019,41.14,34.0,44.1,35.0,-0.083
VALIDATION,project_age_months_t,22,3019,59.14,41.0,68.66,55.0,-0.185
VALIDATION,planned_duration_months,22,3019,49.45,43.0,60.0,44.0,-0.231
VALIDATION,months_to_original_doc_t,22,3019,-9.68,-1.0,-8.66,-7.0,-0.029
VALIDATION,schedule_slippage_months_t,22,3019,,,,,
VALIDATION,progress_velocity_3m_t,22,3019,2.03,2.0,0.89,0.7,0.173
VALIDATION,monthly_expenditure_delta_t,22,3019,-6.75,21.37,27.91,0.59,-0.028
VALIDATION,expenditure_growth_rate_t,22,3019,0.01,0.02,8.24,0.0,-0.024
VALIDATION,progress_velocity_1m_t,22,3019,2.52,2.0,1.98,0.0,0.025
TEST_OOT,original_cost_crore,36,3753,2601.78,1856.36,1767.65,703.68,0.17
TEST_OOT,cost_escalation_pct_t,36,3753,161.65,0.0,153.28,0.0,0.003
TEST_OOT,cumulative_expenditure_t,36,3753,2699.44,960.89,1055.11,236.91,0.366
TEST_OOT,expenditure_ratio_pct_t,36,3753,62.17,73.06,44.26,36.45,0.125
TEST_OOT,physical_progress_t,36,3753,70.78,73.84,58.33,66.59,0.354
TEST_OOT,remaining_physical_progress_t,36,3753,29.22,26.16,41.67,33.41,-0.354
TEST_OOT,project_age_months_t,36,3753,63.24,55.5,65.82,50.0,-0.052
TEST_OOT,planned_duration_months,36,3753,40.56,31.0,56.69,43.0,-0.388
TEST_OOT,months_to_original_doc_t,36,3753,-22.68,-16.5,-9.14,-5.0,-0.381
TEST_OOT,schedule_slippage_months_t,36,3753,,,,,
TEST_OOT,progress_velocity_3m_t,36,3753,3.08,1.78,2.54,1.0,0.09
TEST_OOT,monthly_expenditure_delta_t,36,3753,98.23,17.8,35.28,0.19,0.027
TEST_OOT,expenditure_growth_rate_t,36,3753,0.15,0.02,32.95,0.0,-0.023
TEST_OOT,progress_velocity_1m_t,36,3753,2.09,1.59,2.51,0.65,-0.036
