feature_name,feature_type,temporal_policy,leakage_risk
original_cost_crore,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
project_age_months_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
planned_duration_months,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
original_cost_log,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
physical_progress_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
cumulative_expenditure_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
revised_cost_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
cost_escalation_pct_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
expenditure_ratio_pct_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
remaining_physical_progress_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
schedule_slippage_months_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
months_to_original_doc_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
months_to_revised_doc_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
physical_progress_lag1,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
physical_progress_lag2,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
physical_progress_lag3,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
progress_change_1m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
progress_change_2m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
progress_change_3m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
progress_velocity_1m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
progress_velocity_3m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
progress_velocity_6m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
max_progress_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
min_progress_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
average_progress_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
progress_std_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
cumulative_expenditure_lag1,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
cumulative_expenditure_lag3,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
monthly_expenditure_delta_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
expenditure_change_1m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
expenditure_change_3m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
expenditure_velocity_3m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
expenditure_velocity_6m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
avg_monthly_expenditure_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
expenditure_growth_rate_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
negative_expenditure_delta_flag_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
stagnant_2m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
stagnant_3m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
stagnant_6m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
months_since_last_progress_increase_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
longest_stagnation_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
progress_change_last_3m_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
has_cost_revision_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
cost_revision_count_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
months_since_last_cost_revision_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
largest_cost_revision_pct_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
cost_reduction_pct_as_of_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
has_revised_schedule_as_of_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
schedule_revision_count_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
months_since_last_schedule_revision_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
months_observed_to_date_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
months_since_first_observed_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
observation_coverage_ratio_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
consecutive_observation_count_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
months_since_last_observation_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
missing_physical_progress_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
missing_expenditure_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
missing_revised_cost_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
missing_revised_doc_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
observation_gap_flag_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
state_active_project_count_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
state_mean_progress_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
state_median_progress_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
state_mean_cost_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
state_mean_expenditure_ratio_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
agency_active_project_count_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
agency_mean_progress_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
agency_median_progress_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
agency_mean_cost_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
agency_mean_expenditure_ratio_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
focused_cohort_indicator_t,numeric,as-of-t snapshot / historical window <= t,NONE (Audited)
project_size_category,categorical,as-of-t snapshot / baseline sanctioned,NONE (Audited)
current_schedule_status_as_of_t,categorical,as-of-t snapshot / baseline sanctioned,NONE (Audited)
reporting_structure_version_t,categorical,as-of-t snapshot / baseline sanctioned,NONE (Audited)
table_source_t,categorical,as-of-t snapshot / baseline sanctioned,NONE (Audited)
