feature_name,importance
table_source_t_Table 7: All Ongoing Projects,2.126752
table_source_t_Table 6: All Ongoing Projects,1.505851
months_since_last_schedule_revision_t,1.423628
physical_progress_lag1,1.273753
project_age_months_t,0.956104
months_since_last_cost_revision_t,0.773399
months_since_first_observed_t,0.645813
schedule_revision_count_to_date_t,0.636126
months_observed_to_date_t,0.632051
progress_std_to_date_t,0.627457
consecutive_observation_count_t,0.619111
focused_cohort_indicator_t,0.614125
project_size_category_Small (<150Cr),0.588407
agency_active_project_count_t,0.547844
months_to_revised_doc_t,0.543054
table_source_t_Table 4: All Ongoing Projects,0.522264
revised_cost_t,0.485452
current_schedule_status_as_of_t_on_schedule,0.465244
months_to_original_doc_t,0.441696
cumulative_expenditure_lag1,0.419524
physical_progress_lag2,0.406945
longest_stagnation_to_date_t,0.37913
progress_change_2m_t,0.365329
current_schedule_status_as_of_t_delayed_rescheduled,0.355688
reporting_structure_version_t_v2_focused_cohort,0.351004
stagnant_6m_t,0.329858
cumulative_expenditure_t,0.32805
agency_mean_progress_t,0.3086
project_size_category_Large (500-1000Cr),0.267484
planned_duration_months,0.259508
reporting_structure_version_t_v1_initial,0.252367
observation_gap_flag_t,0.251735
original_cost_crore,0.245109
observation_coverage_ratio_t,0.213127
months_since_last_progress_increase_t,0.211308
state_mean_progress_t,0.207267
expenditure_velocity_6m_t,0.201438
project_size_category_Medium (150-500Cr),0.17814
progress_velocity_6m_t,0.172856
remaining_physical_progress_t,0.167493
physical_progress_t,0.167493
expenditure_growth_rate_t,0.164743
missing_revised_cost_t,0.160023
project_size_category_Mega (>1000Cr),0.153016
progress_velocity_1m_t,0.151286
progress_change_1m_t,0.151286
has_cost_revision_t,0.151094
cumulative_expenditure_lag3,0.147136
expenditure_change_1m_t,0.146979
monthly_expenditure_delta_t,0.146979
state_mean_expenditure_ratio_t,0.144471
state_median_progress_t,0.135307
physical_progress_lag3,0.1343
avg_monthly_expenditure_to_date_t,0.133727
agency_mean_cost_t,0.114434
stagnant_3m_t,0.1099
project_size_category_Unknown,0.10887
cost_revision_count_to_date_t,0.107436
stagnant_2m_t,0.105553
has_revised_schedule_as_of_t,0.095399
missing_revised_doc_t,0.095399
negative_expenditure_delta_flag_t,0.092685
min_progress_to_date_t,0.090768
agency_mean_expenditure_ratio_t,0.083662
largest_cost_revision_pct_to_date_t,0.081327
schedule_slippage_months_t,0.079776
cost_escalation_pct_t,0.078787
average_progress_to_date_t,0.06594
progress_velocity_3m_t,0.044671
progress_change_last_3m_t,0.044671
progress_change_3m_t,0.044671
expenditure_ratio_pct_t,0.043662
months_since_last_observation_t,0.033301
state_active_project_count_t,0.031555
missing_expenditure_t,0.03114
missing_physical_progress_t,0.0275
max_progress_to_date_t,0.024939
expenditure_velocity_3m_t,0.018396
expenditure_change_3m_t,0.018396
state_mean_cost_t,0.017599
agency_median_progress_t,0.015468
original_cost_log,0.012955
current_schedule_status_as_of_t_past_due_breached,0.01092
cost_reduction_pct_as_of_t,0.004753
