project_id,prediction_month,evaluation_month,schedule_delay_3m,cost_overrun_3m,schedule_label_status,cost_label_status,source_file
060100093,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
101280,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
102000,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
105236,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
10980,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
120000,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
120250,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
12800,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
129000,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
12920,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
13000,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
132664,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
134950,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
14200,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
14380,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
144020,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
149476,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
150000,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
151330,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
15500,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
159400,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
160000,2025-04,2025-07,,,unresolved_project_exit,unresolved_project_exit,FRApril2025.pdf
