category,target,metric,value
Prediction Scope,General,Total Prediction Snapshots,"15,769"
Prediction Scope,General,Earliest Prediction Month,2025-04
Prediction Scope,General,Latest Prediction Month,2026-03
Prediction Scope,General,Latest Evaluation Month,2026-06
Prediction Scope,General,Unique Projects in Window,"2,635"
Quality Check,General,Duplicate Prediction Keys,0
Quality Check,General,Temporal Logic Errors,0
Quality Check,General,Future Boundary Violations,0
Primary Label,Schedule Delay 3M,Labelled Snapshots,"11,893 (75.42%)"
Primary Label,Schedule Delay 3M,Unlabelled Snapshots,"3,876 (24.58%)"
Primary Label,Schedule Delay 3M,Positive Cases (Delayed = 1),"6,526 (54.87%)"
Primary Label,Schedule Delay 3M,Negative Cases (On-Time = 0),"5,367 (45.13%)"
Secondary Label,Cost Overrun 3M,Labelled Snapshots,"12,154 (77.08%)"
Secondary Label,Cost Overrun 3M,Unlabelled Snapshots,"3,615 (22.92%)"
Secondary Label,Cost Overrun 3M,Positive Cases (Escalated = 1),"3,768 (31.00%)"
Secondary Label,Cost Overrun 3M,Negative Cases (Compliant = 0),"8,386 (69.00%)"
Schedule Status Breakdown,Schedule Delay 3M,Status: breached_original_doc,"6,309 (40.01%)"
Schedule Status Breakdown,Schedule Delay 3M,Status: on_schedule_within_doc,"5,023 (31.85%)"
Schedule Status Breakdown,Schedule Delay 3M,Status: unresolved_project_exit,"3,446 (21.85%)"
Schedule Status Breakdown,Schedule Delay 3M,Status: missing_original_doc,430 (2.73%)
Schedule Status Breakdown,Schedule Delay 3M,Status: completed_on_time,344 (2.18%)
Schedule Status Breakdown,Schedule Delay 3M,Status: completed_delayed,180 (1.14%)
Schedule Status Breakdown,Schedule Delay 3M,Status: revised_doc_delayed,37 (0.23%)
Cost Status Breakdown,Cost Overrun 3M,Status: cost_unchanged,"6,699 (42.48%)"
Cost Status Breakdown,Cost Overrun 3M,Status: cost_escalated,"3,583 (22.72%)"
Cost Status Breakdown,Cost Overrun 3M,Status: unresolved_project_exit,"3,490 (22.13%)"
Cost Status Breakdown,Cost Overrun 3M,Status: cost_reduced,"1,345 (8.53%)"
Cost Status Breakdown,Cost Overrun 3M,Status: completed_cost_compliant,342 (2.17%)
Cost Status Breakdown,Cost Overrun 3M,Status: completed_cost_escalated,185 (1.17%)
Cost Status Breakdown,Cost Overrun 3M,Status: missing_original_cost,89 (0.56%)
Cost Status Breakdown,Cost Overrun 3M,Status: missing_future_cost,36 (0.23%)
