project_id,project_name,agency,legacy_ocms_code,state,approval_start_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,report_month,source_file,source_table
14380,KARIMGANI - SUTARKANDI SECTION ON SILCHAR-CHURAIBARI PKG-7,NHIDCL,N24002231,N24002231,2024-02,2027-02,2027-02,2.0,791.79,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
40840,DAINADUBI-DARUGIRI PKG-1B ROAD TRANSPORT AND HIGHWAYS,NHIDCL,N24002233,N24002233,2023-03,2027-03,2027-03,3.0,705.83,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
616670,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV (PART-4: 3.5 GW): PART A,PGCIL,N18000407,N18000407,2024-12,2026-12,2026-12,12.0,5846.0,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
616671,TRANSMISSION SYSTEM UNDER ISTS FOR EVACUATION OF POWER FROM KUDANKULAM UNIT - 3 & 4 (2X1000 MW),2X1000 MW,N18000408,PGCIL,2025-01,2028-07,2028-07,1.0,548.0,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
616672,SYSTEM STRENGTHENING AT KOPPAL-II AND GADAG-II FOR INTEGRATION OF RE GENERATION PROJECTS,PGCIL,N18000409,N18000409,2025-01,2027-01,2027-01,1.0,1354.0,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
617068,AUGMENTATION OF TRANSFORMATION CAPACITY AT BIDAR PS,PGCIL,N18000410,N18000410,2025-02,2027-02,2027-02,2.0,288.0,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
617069,AUGMENTATION OF TRANSFORMATION CAPACITY AT KPS2 & KPS2,PGCIL,N18000411,N18000411,2025-03,2027-03,2027-03,3.0,466.0,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
617179,TRANSMISSION SCHEME FOR EVACUATION OF POWER FROM RATLE HEP (850 MW) & KIRU (624 MW): PART B,850 MW,N18000417,624 MW,2025-03,2027-03,2027-03,3.0,219.0,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
617181,"AUGMENTATION AT FATEHGARH-II PS, FATEHGARH-IV PS",SECTION-II,N18000415,PGCIL,2025-03,2026-12,2026-12,3.0,404.0,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
617182,AUGMENTATION OF BANASKANTHA (RAGHANESDA) PS (GIS) POWER,RAGHANESDA,N18000412,GIS,2025-03,2027-03,2027-03,3.0,172.0,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
617183,TRANSMISSION SYSTEM STRENGTHENING AT KURNOOL- III PS FOR INTEGRATION OF ADDITIONAL RE GENERATION PRO,PGCIL,N18000416,N18000416,2025-03,2027-03,2027-03,3.0,2886.0,2025-04,FRApril2025.pdf,Table 4: Newly Added Projects
