agency,total_observations,mean_esi,median_esi,attention_high_priority_count,attention_pct,mean_divergence,stagnant_project_pct
PAIMANA,481,0.5128336798336799,0.53,209,43.45,407.98198684716834,14.97
ministry of housing and urban affairs,55,0.48572545454545457,0.547,25,45.45,-19.18715300891663,80.0
Department of water resources-MH - II,92,0.4794108695652174,0.48955,32,34.78,15.410827801129486,57.61
ECR,60,0.4458766666666667,0.44235,12,20.0,38.90639825326924,25.0
RVNL,65,0.4413507692307692,0.49,6,9.23,42.06108403491641,21.54
Ministry of Housing & Urban Affairs,170,0.44015176470588235,0.51,49,28.82,165.7050580219115,50.0
Singareni Collieries Company Limited [SCCL],82,0.43727682926829264,0.49434999999999996,15,18.29,-0.7137649127364382,79.27
Western Coalfields Limited [WCL],272,0.4102952205882353,0.49739999999999995,100,36.76,-3.601276657750897,65.44
South Central Railway [SCR] - II,159,0.3976811320754717,0.3795,34,21.38,13.043596556396189,51.57
South Eastern Coalfields Limited [SECL],137,0.3965211678832117,0.4735,24,17.52,-11.003692144553273,68.61
Ministry of Coal,207,0.3799748792270531,0.3902,47,22.71,-3.0792418447453778,57.49
National Mission for Clean Ganga,66,0.3711045454545454,0.43379999999999996,15,22.73,-18.56522632236885,63.64
Eastern Coal Fields Limited [ECL],105,0.36585047619047617,0.3411,17,16.19,-2.6606777412699905,49.52
Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,58,0.3633396551724138,0.346,11,18.97,6.103786800403601,43.1
South Western Railway [SWR] - II,109,0.36312660550458714,0.3508,21,19.27,3.9163309511726387,47.71
PCE/WR,79,0.36089620253164556,0.325,13,16.46,2.530070262379309,43.04
NTPC,62,0.36073548387096777,0.3762,5,8.06,185.47312797579136,9.68
WCL,82,0.33941097560975614,0.3304,0,0.0,-9.79451877861394,29.27
Indian Railway Construction International Limited [IRCON],59,0.3357813559322034,0.31,4,6.78,-3.3574375066029427,42.37
East Central Railway [ECR] - I,151,0.3302569536423841,0.3026,23,15.23,129.62199448055807,42.38
WR,65,0.3189169230769231,0.3294,2,3.08,11.547780235821676,18.46
Northeast Frontier Railway [NFR],51,0.3104352941176471,0.3004,4,7.84,0.7946836789848999,37.25
Central Railway [CR] - II,63,0.3085111111111111,0.2435,7,11.11,8.343529774302526,44.44
AAI,92,0.30594782608695653,0.3279,1,1.09,-7.108188226212551,7.61
East Coast Railway [ECoR] - II,169,0.3007834319526627,0.287,15,8.88,1.2230450122670868,32.54
Western Railway [WR] - II,68,0.30010882352941176,0.269,5,7.35,5.584133779308658,33.82
RVNL - II,104,0.2963807692307692,0.2963,0,0.0,-2.5642691316799033,32.69
Department of Telecommunications [DoT],72,0.2836736111111111,0.28,0,0.0,-31.058170808331777,15.28
IOCL,92,0.2825847826086957,0.30945,0,0.0,-11.811166450625661,7.61
MoRTH,2067,0.28221006289308176,0.2957,65,3.14,-29.6184330168693,13.69
"Department of Water Resources, River Development & GR",50,0.28096,0.25,5,10.0,-22.230652788878082,32.0
NHAI,1296,0.2756989197530864,0.29,17,1.31,-14.593427592045263,7.02
SECR,104,0.2669076923076923,0.26,2,1.92,-9.174405689082372,25.96
NHIDCL,1103,0.266668540344515,0.2757,33,2.99,-24.68993169467959,9.79
Oil and Natural Gas Corporation Limited [ONGC],123,0.2524577235772358,0.2171,10,8.13,-8.759413193964237,28.46
ONGC,50,0.248326,0.27315,0,0.0,-6.482495674708059,4.0
NLC India Limited [NLCIL],65,0.23685384615384616,0.2028,7,10.77,3.077641905062776,30.77
National Thermal Power Corporation [NTPC],75,0.23671466666666666,0.1893,5,6.67,0.5067923032250844,26.67
Employee's State Insurance Company [ESIC],76,0.2182144736842105,0.2223,0,0.0,9.589745421142801,14.47
National Highways Authority of India [NHAI],1697,0.21729192692987626,0.2175,59,3.48,-21.75103118016276,11.14
PGCIL,176,0.21629943181818181,0.26425,0,0.0,-5.539607995944719,2.84
North Western Railway [NWR],126,0.21610634920634922,0.21595,3,2.38,-7.0938066215029,19.05
MinistryofPetroleumNaturalGas,173,0.20979595375722543,0.135,26,15.03,-9.563490450728201,20.81
Ministry of Petroleum & Natural Gas,346,0.2080592485549133,0.20095000000000002,8,2.31,-11.156360559481099,9.25
North Central Railway,72,0.1871847222222222,0.16375,1,1.39,-3.1176080790269145,16.67
Power Grid Corporation of India Limited [POWERGRID],472,0.15307669491525425,0.1168,6,1.27,-0.19475817381650287,8.69
Airport Authority of India [AAI],212,0.14777122641509435,0.1147,0,0.0,-11.745204838004872,8.49
Bharat Petroleum Corporation Limited [BPCL],81,0.1264074074074074,0.1142,0,0.0,-19.158851894706462,2.47
Steel Authority of India Limited [SAIL],134,0.10761791044776119,0.06085,4,2.99,-11.111586433749894,5.97
Hindustan Petroleum Corporation Limited,53,0.09384150943396227,0.0933,0,0.0,-19.268006609873883,1.89
