target_code,target_name,prediction_month,valid_count,pos_count,base_rate_pct
target_future_stagnant_3m,Future Progress Stagnation (3m),2025-04,335,113,33.73
target_future_stagnant_3m,Future Progress Stagnation (3m),2025-05,406,114,28.08
target_future_stagnant_3m,Future Progress Stagnation (3m),2025-06,397,107,26.95
target_future_stagnant_3m,Future Progress Stagnation (3m),2025-07,607,249,41.02
target_future_stagnant_3m,Future Progress Stagnation (3m),2025-08,703,300,42.67
target_future_stagnant_3m,Future Progress Stagnation (3m),2025-09,683,274,40.12
target_future_stagnant_3m,Future Progress Stagnation (3m),2025-10,708,269,37.99
target_future_stagnant_3m,Future Progress Stagnation (3m),2025-11,724,277,38.26
target_future_stagnant_3m,Future Progress Stagnation (3m),2025-12,1256,193,15.37
target_future_stagnant_3m,Future Progress Stagnation (3m),2026-01,1528,255,16.69
target_future_stagnant_3m,Future Progress Stagnation (3m),2026-02,1757,306,17.42
target_future_stagnant_3m,Future Progress Stagnation (3m),2026-03,1612,500,31.02
target_future_slowdown_3m,Future Severe Slowdown (3m),2025-04,335,155,46.27
target_future_slowdown_3m,Future Severe Slowdown (3m),2025-05,406,178,43.84
target_future_slowdown_3m,Future Severe Slowdown (3m),2025-06,397,177,44.58
target_future_slowdown_3m,Future Severe Slowdown (3m),2025-07,607,321,52.88
target_future_slowdown_3m,Future Severe Slowdown (3m),2025-08,703,391,55.62
target_future_slowdown_3m,Future Severe Slowdown (3m),2025-09,683,353,51.68
target_future_slowdown_3m,Future Severe Slowdown (3m),2025-10,708,362,51.13
target_future_slowdown_3m,Future Severe Slowdown (3m),2025-11,724,366,50.55
target_future_slowdown_3m,Future Severe Slowdown (3m),2025-12,1256,518,41.24
target_future_slowdown_3m,Future Severe Slowdown (3m),2026-01,1528,699,45.75
target_future_slowdown_3m,Future Severe Slowdown (3m),2026-02,1757,818,46.56
target_future_slowdown_3m,Future Severe Slowdown (3m),2026-03,1612,771,47.83
schedule_revision_3m,Future Schedule Revision (3m),2025-04,544,98,18.01
schedule_revision_3m,Future Schedule Revision (3m),2025-05,520,0,0.0
schedule_revision_3m,Future Schedule Revision (3m),2025-06,471,0,0.0
schedule_revision_3m,Future Schedule Revision (3m),2025-07,427,5,1.17
schedule_revision_3m,Future Schedule Revision (3m),2025-08,765,15,1.96
schedule_revision_3m,Future Schedule Revision (3m),2025-09,758,26,3.43
schedule_revision_3m,Future Schedule Revision (3m),2025-10,785,27,3.44
schedule_revision_3m,Future Schedule Revision (3m),2025-11,793,22,2.77
schedule_revision_3m,Future Schedule Revision (3m),2025-12,1371,19,1.39
schedule_revision_3m,Future Schedule Revision (3m),2026-01,1672,22,1.32
schedule_revision_3m,Future Schedule Revision (3m),2026-02,1909,28,1.47
schedule_revision_3m,Future Schedule Revision (3m),2026-03,1878,17,0.91
target_future_dropout_3m,Future Reporting Dropout (3m),2025-04,1627,995,61.16
target_future_dropout_3m,Future Reporting Dropout (3m),2025-05,1606,998,62.14
target_future_dropout_3m,Future Reporting Dropout (3m),2025-06,1552,994,64.05
target_future_dropout_3m,Future Reporting Dropout (3m),2025-07,791,48,6.07
target_future_dropout_3m,Future Reporting Dropout (3m),2025-08,800,26,3.25
target_future_dropout_3m,Future Reporting Dropout (3m),2025-09,794,26,3.27
target_future_dropout_3m,Future Reporting Dropout (3m),2025-10,820,25,3.05
target_future_dropout_3m,Future Reporting Dropout (3m),2025-11,824,21,2.55
target_future_dropout_3m,Future Reporting Dropout (3m),2025-12,1388,7,0.5
target_future_dropout_3m,Future Reporting Dropout (3m),2026-01,1696,15,0.88
target_future_dropout_3m,Future Reporting Dropout (3m),2026-02,1939,25,1.29
target_future_dropout_3m,Future Reporting Dropout (3m),2026-03,1932,50,2.59
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2025-04,335,42,12.54
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2025-05,406,39,9.61
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2025-06,397,32,8.06
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2025-07,373,58,15.55
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2025-08,703,75,10.67
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2025-09,683,77,11.27
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2025-10,708,75,10.59
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2025-11,724,78,10.77
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2025-12,1256,53,4.22
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2026-01,1528,74,4.84
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2026-02,1757,106,6.03
target_future_composite_degradation_3m,Composite Execution Degradation (3m),2026-03,1612,165,10.24
