target_code,target_name,split,total_rows,valid_labelled_rows,missing_pct,positive_cases,negative_cases,base_rate_pct
target_future_stagnant_3m,Future Progress Stagnation (3m),TRAIN,8814,4563,48.23,1703,2860,37.32
target_future_stagnant_3m,Future Progress Stagnation (3m),VAL,3084,2784,9.73,448,2336,16.09
target_future_stagnant_3m,Future Progress Stagnation (3m),OOT,3871,3369,12.97,806,2563,23.92
target_future_stagnant_3m,Future Progress Stagnation (3m),ALL,15769,10716,32.04,2957,7759,27.59
target_future_slowdown_3m,Future Severe Slowdown (3m),TRAIN,8814,4563,48.23,2303,2260,50.47
target_future_slowdown_3m,Future Severe Slowdown (3m),VAL,3084,2784,9.73,1217,1567,43.71
target_future_slowdown_3m,Future Severe Slowdown (3m),OOT,3871,3369,12.97,1589,1780,47.17
target_future_slowdown_3m,Future Severe Slowdown (3m),ALL,15769,10716,32.04,5109,5607,47.68
schedule_revision_3m,Future Schedule Revision (3m),TRAIN,8814,5063,42.56,193,4870,3.81
schedule_revision_3m,Future Schedule Revision (3m),VAL,3084,3043,1.33,41,3002,1.35
schedule_revision_3m,Future Schedule Revision (3m),OOT,3871,3787,2.17,45,3742,1.19
schedule_revision_3m,Future Schedule Revision (3m),ALL,15769,11893,24.58,279,11614,2.35
target_future_dropout_3m,Future Reporting Dropout (3m),TRAIN,8814,8814,0.0,3133,5681,35.55
target_future_dropout_3m,Future Reporting Dropout (3m),VAL,3084,3084,0.0,22,3062,0.71
target_future_dropout_3m,Future Reporting Dropout (3m),OOT,3871,3871,0.0,75,3796,1.94
target_future_dropout_3m,Future Reporting Dropout (3m),ALL,15769,15769,0.0,3230,12539,20.48
target_future_composite_degradation_3m,Composite Execution Degradation (3m),TRAIN,8814,4329,50.88,476,3853,11.0
target_future_composite_degradation_3m,Composite Execution Degradation (3m),VAL,3084,2784,9.73,127,2657,4.56
target_future_composite_degradation_3m,Composite Execution Degradation (3m),OOT,3871,3369,12.97,271,3098,8.04
target_future_composite_degradation_3m,Composite Execution Degradation (3m),ALL,15769,10482,33.53,874,9608,8.34
