project_id,project_name,agency,state,prediction_month,evaluation_month,physical_progress_t,expenditure_ratio_pct_t,divergence_spread_t,schedule_slippage_months_t,months_since_last_progress_increase_t,s_stag,s_vel,s_sched,s_div,s_rep,flag_stag,flag_vel,flag_sched,flag_div,flag_rep,total_stress_flags,index_rule_based,index_equal_weighted,execution_stress_index,split
060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY 6-2010 3/2023,SECL,CHHATTISGARH COAL,2025-04,2025-07,,,0.0,36.0,0,0.0,1.0,1.0,0.0,0.4,0,1,1,0,1,3,0.6,0.48,0.44,TRAIN
101280,TWO-LANING OF HAYULIANG? HAWAI BYPASS ROAD ON EPC BASIS FROM DESIGN KM. 51.825 TO KM. 63.131 EXISTI 1-2017 5/2023,NHIDCL,ARUNACHAL PRADESH,2025-04,2025-07,63.59,0.0,-63.59,0.0,0,0.0,1.0,0.3833,0.0,0.1,0,1,1,0,0,2,0.4,0.2967,0.3175,TRAIN
102000,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 102 TO KM 13 3-2021 7/2024,BRO,JAMMU AND KASHMIR,2025-04,2025-07,95.0,53.74003487792726,-41.25996512207274,8.0,0,0.0,1.0,0.2833,0.0,0.1,0,1,1,0,0,2,0.4,0.2767,0.3025,TRAIN
105236,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH 365BG FROM RECHARLA VI 9-2021 9/2022,NHAI,ANDHRA PRADESH,2025-04,2025-07,90.14,78.66454981223094,-11.475450187769056,24.0,0,0.0,1.0,0.8,0.0,0.1,0,1,1,0,0,2,0.4,0.38,0.38,TRAIN
10980,KANPUR LUCKNOW EXPRESSWAY PKG-1 CONSTRUCTION OF 6-LANE TO EIGHT LANE OF KANPUR LUCKNOW EXPRESSWAY (N 12-2021 7/2025,NHAI,UTTAR PRADESH,2025-04,2025-07,61.53,24.103305785123965,-37.426694214876036,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
120000,2LPS OF KOYYURU TO CHAPRATHIPALEM SECTION OF NH 516E 8-2020 7/2024 {6/2025},MoRTH,ANDHRA PRADESH,2025-04,2025-07,76.0,32.78937272753299,-43.21062727246701,11.0,0,0.0,1.0,0.3333,0.0,0.1,0,1,1,0,0,2,0.4,0.2867,0.31,TRAIN
120250,CONSTRUCTION OF FOUR LANE GREENFIELD PROJECT OF DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-V) FROM 1-2021 5/2024,NHAI,PUNJAB,2025-04,2025-07,96.0,56.027566614935424,-39.972433385064576,13.0,0,0.0,1.0,0.4,0.0,0.1,0,1,1,0,0,2,0.4,0.3,0.32,TRAIN
12800,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADUM 3-2023 9/2026 {9/2026},NHIDCL,MEGHALAYA,2025-04,2025-07,28.0,33.948089634048046,5.948089634048046,0.0,0,0.0,1.0,0.0,0.0793,0.1,0,1,0,0,0,1,0.2,0.2359,0.2759,TRAIN
129000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM YERRAGUDIPADU 129.000 KM. TO AUDIREDDIPALLE 160.000 KM. 2-2023 10/2025 {10/2025},NHAI,ANDHRA PRADESH,2025-04,2025-07,5.2,4.830809216774129,-0.3691907832258714,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
12920,SILCHAR VAIRENGTE SAIRANG ROAD PKG-2 3-2023 8/2026 {8/2026},NHIDCL,ASSAM,2025-04,2025-07,63.52,57.31116821368014,-6.2088317863198625,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
13000,PADERU BYPASS (KM 0+000 TO KM 13+000) OF 2- LANE WITH PAVED SHOULDER ON NH-516E 3-2023 3/2024 {2/2026},MoRTH,ARUNACHAL PRADESH,2025-04,2025-07,,9.31555046434562,9.31555046434562,23.0,0,0.0,1.0,0.6,0.1242,0.4,0,1,1,0,1,3,0.6,0.4248,0.4048,TRAIN
132664,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH-365BG (KHAMMAM-DEVARAP 9-2021 9/2022,NHAI,ANDHRA PRADESH,2025-04,2025-07,73.89,65.21744446210464,-8.672555537895363,24.0,0,0.0,1.0,0.8,0.0,0.1,0,1,1,0,0,2,0.4,0.38,0.38,TRAIN
