feature_name,feature_family,train_mean,val_mean,oot_mean,train_missing_pct,val_missing_pct,oot_missing_pct,ks_stat_train_vs_oot,ks_pval_train_vs_oot,drift_verdict
hist_agency_completed_count_lifetime_t,Agency,21.9683,13.8161,17.0121,0.0,0.0,0.0,0.3059,0.0,Significant Shift
hist_agency_delay_count_lifetime_t,Agency,2.5543,0.6268,0.8429,0.0,0.0,0.0,0.1658,0.0,Significant Shift
hist_agency_delay_rate_raw_lifetime_t,Agency,0.2025,0.1311,0.135,44.44,36.12,25.76,0.3253,0.0,Significant Shift
hist_agency_delay_rate_smoothed_lifetime_t,Agency,0.1334,0.0919,0.1133,0.0,0.0,0.0,0.5716,0.0,Significant Shift
hist_agency_mean_delay_months_lifetime_t,Agency,-4.0576,-27.5971,-28.9433,44.44,36.12,25.76,0.4058,0.0,Significant Shift
hist_agency_median_delay_months_lifetime_t,Agency,0.1488,-19.2749,-20.0009,44.44,36.12,25.76,0.3658,0.0,Significant Shift
hist_agency_cost_obs_count_lifetime_t,Agency,10.2479,3.9095,5.2483,0.0,0.0,0.0,0.3176,0.0,Significant Shift
hist_agency_cost_overrun_count_lifetime_t,Agency,6.1972,2.4287,3.2371,0.0,0.0,0.0,0.2957,0.0,Significant Shift
hist_agency_cost_overrun_rate_raw_lifetime_t,Agency,0.618,0.6241,0.5887,59.69,40.21,28.36,0.3617,0.0,Significant Shift
hist_agency_cost_overrun_rate_smoothed_lifetime_t,Agency,0.6175,0.6123,0.5919,0.0,0.0,0.0,0.4022,0.0,Significant Shift
hist_agency_mean_cost_overrun_pct_lifetime_t,Agency,16.3252,16.195,13.4433,59.69,40.21,28.36,0.3543,0.0,Significant Shift
hist_agency_completed_count_5y_t,Agency,14.748,8.5626,10.1279,0.0,0.0,0.0,0.2933,0.0,Significant Shift
hist_agency_delay_count_5y_t,Agency,0.2091,0.5139,0.6572,0.0,0.0,0.0,0.2531,0.0,Significant Shift
hist_agency_delay_rate_raw_5y_t,Agency,0.0552,0.1324,0.1393,48.34,36.51,26.12,0.4985,0.0,Significant Shift
hist_agency_delay_rate_smoothed_5y_t,Agency,0.1178,0.1142,0.1447,0.0,0.0,0.0,0.7145,0.0,Significant Shift
