feature_name,feature_family,data_type,description,imputation_strategy
hist_agency_completed_count_lifetime_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_delay_count_lifetime_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_delay_rate_raw_lifetime_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_delay_rate_smoothed_lifetime_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_mean_delay_months_lifetime_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_median_delay_months_lifetime_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_cost_obs_count_lifetime_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_cost_overrun_count_lifetime_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_cost_overrun_rate_raw_lifetime_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_cost_overrun_rate_smoothed_lifetime_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_mean_cost_overrun_pct_lifetime_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_completed_count_5y_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_delay_count_5y_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_delay_rate_raw_5y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_delay_rate_smoothed_5y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_mean_delay_months_5y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_median_delay_months_5y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_cost_obs_count_5y_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_cost_overrun_count_5y_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_cost_overrun_rate_raw_5y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_cost_overrun_rate_smoothed_5y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_mean_cost_overrun_pct_5y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_completed_count_3y_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_delay_count_3y_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_delay_rate_raw_3y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_delay_rate_smoothed_3y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_mean_delay_months_3y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_median_delay_months_3y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
