feature_name,feature_family,total_snapshots,non_null_count,overall_coverage_pct,missing_rate_pct,train_coverage_pct,val_coverage_pct,oot_coverage_pct,join_key
hist_agency_completed_count_lifetime_t,Agency Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,agency+prediction_month
hist_agency_delay_count_lifetime_t,Agency Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,agency+prediction_month
hist_agency_delay_rate_raw_lifetime_t,Agency Prior,15769,9741,61.77,38.23,55.56,63.88,74.24,agency+prediction_month
hist_agency_delay_rate_smoothed_lifetime_t,Agency Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,agency+prediction_month
hist_agency_mean_delay_months_lifetime_t,Agency Prior,15769,9741,61.77,38.23,55.56,63.88,74.24,agency+prediction_month
hist_agency_median_delay_months_lifetime_t,Agency Prior,15769,9741,61.77,38.23,55.56,63.88,74.24,agency+prediction_month
hist_agency_cost_obs_count_lifetime_t,Agency Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,agency+prediction_month
hist_agency_cost_overrun_count_lifetime_t,Agency Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,agency+prediction_month
hist_agency_cost_overrun_rate_raw_lifetime_t,Agency Prior,15769,8170,51.81,48.19,40.31,59.79,71.64,agency+prediction_month
hist_agency_cost_overrun_rate_smoothed_lifetime_t,Agency Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,agency+prediction_month
hist_agency_mean_cost_overrun_pct_lifetime_t,Agency Prior,15769,8170,51.81,48.19,40.31,59.79,71.64,agency+prediction_month
hist_agency_completed_count_5y_t,Agency Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,agency+prediction_month
hist_agency_delay_count_5y_t,Agency Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,agency+prediction_month
hist_agency_delay_rate_raw_5y_t,Agency Prior,15769,9371,59.43,40.57,51.66,63.49,73.88,agency+prediction_month
hist_agency_delay_rate_smoothed_5y_t,Agency Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,agency+prediction_month
hist_agency_mean_delay_months_5y_t,Agency Prior,15769,9371,59.43,40.57,51.66,63.49,73.88,agency+prediction_month
