feature_name,category,data_type,source_columns,time_window,missing_policy,leakage_status
approval_start_date,Static Baseline,str,paimana_master_dataset.csv (report_month <= t),Sanctioned baseline known at or before t,Preserve NaN (No artificial imputation / zero filling),SAFE
original_completion_date,Static Baseline,str,paimana_master_dataset.csv (report_month <= t),Sanctioned baseline known at or before t,Preserve NaN (No artificial imputation / zero filling),SAFE
original_cost_crore,Static Baseline,float64,paimana_master_dataset.csv (report_month <= t),Sanctioned baseline known at or before t,Preserve NaN (No artificial imputation / zero filling),SAFE
project_age_months_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
planned_duration_months,Static Baseline,float64,paimana_master_dataset.csv (report_month <= t),Sanctioned baseline known at or before t,Preserve NaN (No artificial imputation / zero filling),SAFE
original_cost_log,Static Baseline,float64,paimana_master_dataset.csv (report_month <= t),Sanctioned baseline known at or before t,Preserve NaN (No artificial imputation / zero filling),SAFE
project_size_category,Static Baseline,str,paimana_master_dataset.csv (report_month <= t),Sanctioned baseline known at or before t,Preserve NaN (No artificial imputation / zero filling),SAFE
physical_progress_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
cumulative_expenditure_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
revised_cost_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
revised_doc_t,Current Snapshot,str,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
cost_escalation_pct_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
expenditure_ratio_pct_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
remaining_physical_progress_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
schedule_slippage_months_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
months_to_original_doc_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
months_to_revised_doc_t,Current Snapshot,float64,paimana_master_dataset.csv (report_month <= t),Record at month t only,Preserve NaN (No artificial imputation / zero filling),SAFE
physical_progress_lag1,Dynamic Trajectory,float64,paimana_master_dataset.csv (report_month <= t),Historical records strictly <= t,Preserve NaN (No artificial imputation / zero filling),SAFE
physical_progress_lag2,Dynamic Trajectory,float64,paimana_master_dataset.csv (report_month <= t),Historical records strictly <= t,Preserve NaN (No artificial imputation / zero filling),SAFE
