feature_name,data_type,missing_count,missing_pct,unique_count,min,max,mean,median,std
approval_start_date,str,0,0.00%,269,,,,,
original_completion_date,str,0,0.00%,214,,,,,
original_cost_crore,float64,89,0.56%,2968,1.0,150000.0,1963.587832270408,686.0,5312.937152826768
project_age_months_t,float64,181,1.15%,378,-59.0,531.0,67.87047729022325,51.0,54.37114877448776
planned_duration_months,float64,463,2.94%,252,-252.0,537.0,60.15699725597805,44.0,48.97863960185976
original_cost_log,float64,89,0.56%,2968,0.6931471805599453,11.918397239722838,6.635056302139432,6.532334292222349,1.2329829190610249
project_size_category,str,0,0.00%,5,,,,,
physical_progress_t,float64,955,6.06%,2372,0.0,100.0,57.488597947887136,65.28999999999999,34.77400368621398
cumulative_expenditure_t,float64,156,0.99%,9705,0.0,124623.0,1164.067012105297,270.52,4130.876822533261
revised_cost_t,float64,117,0.74%,3168,0.1,188000.0,2351.878221952466,768.89,7490.706178545962
revised_doc_t,str,0,0.00%,142,,,,,
cost_escalation_pct_t,float64,117,0.74%,1985,-99.95809938825107,201800.0,368.90354770579637,0.0,5759.977693412164
expenditure_ratio_pct_t,float64,163,1.03%,9990,0.0,67333.33333333334,61.964524275855496,42.42799939875697,710.2159583132302
remaining_physical_progress_t,float64,955,6.06%,2372,0.0,100.0,42.511402052112864,34.71,34.77400368621398
schedule_slippage_months_t,float64,10597,67.20%,174,-356.0,300.0,17.432327919566898,8.0,28.17472940524813
months_to_original_doc_t,float64,430,2.73%,308,-291.0,377.0,-8.269965447551991,-5.0,37.04537528538909
months_to_revised_doc_t,float64,10588,67.14%,190,-135.0,143.0,5.743871839413241,5.0,21.41880203656687
physical_progress_lag1,float64,3164,20.06%,1604,0.0,100.0,56.35180483934946,64.0,34.47439322518953
physical_progress_lag2,float64,5693,36.10%,1494,0.0,100.0,55.01480944819374,62.0,34.14254422748793
physical_progress_lag3,float64,7912,50.17%,1373,0.0,100.0,53.58022782232404,59.0,33.57999753926118
progress_change_1m_t,float64,3535,22.42%,1744,-100.0,100.0,1.8360299166257972,0.0799999999999983,12.509712592102609
progress_change_2m_t,float64,6008,38.10%,1895,-100.0,100.0,3.3953211761090056,1.0,14.917164717149742
progress_change_3m_t,float64,8117,51.47%,1824,-100.0,100.0,4.798159958180867,2.0,16.774430669426287
progress_velocity_1m_t,float64,3535,22.42%,1744,-100.0,100.0,1.8360299166257972,0.0799999999999983,12.509712592102609
progress_velocity_3m_t,float64,8117,51.47%,1820,-33.333333333333336,33.333333333333336,1.5993866527269558,0.6666666666666666,5.591476889808763
progress_velocity_6m_t,float64,12316,78.10%,1079,-16.666666666666668,16.166666666666668,1.4082932715513081,0.8333333333333334,2.3315121311971554
max_progress_to_date_t,float64,548,3.48%,2283,0.0,100.0,59.15237500821233,68.0,34.22251528445045
min_progress_to_date_t,float64,548,3.48%,873,0.0,100.0,50.20103541160239,53.05,35.62183877491133
