benchmark_level,entity_name,year,total_completed_projects,projects_with_schedule_outcome,delay_count,delay_rate_pct,mean_delay_months,median_delay_months,projects_with_cost_outcome,cost_overrun_count,cost_overrun_rate_pct,mean_cost_overrun_pct,median_cost_overrun_pct,total_original_cost_crore,total_cumulative_expenditure_crore
Sector x Year,ATOMIC ENERGY,2013,1,1,1,100.0,22.0,22.0,0,0,,,,53.0,2000007.0
Sector x Year,CENTRAL SECTOR,2011,27,26,26,100.0,23.31,23.5,0,0,,,,1530.0,988321492.7
Sector x Year,CENTRAL SECTOR,2012,4,4,3,75.0,6.25,7.0,0,0,,,,340.0,64000230.0
Sector x Year,CENTRAL SECTOR,2013,5,4,4,100.0,38.5,28.5,0,0,,,,209.0,300100521.0
Sector x Year,CENTRAL SECTOR,2014,20,20,20,100.0,75.4,62.5,0,0,,,,2946.87,388102384.5
Sector x Year,CENTRAL SECTOR,2015,9,9,9,100.0,45.11,47.0,0,0,,,,378.0,148000770.5
Sector x Year,CENTRAL SECTOR,2016,2,2,2,100.0,27.5,27.5,0,0,,,,62.0,18000107.0
Sector x Year,CENTRAL SECTOR,2017,19,19,18,94.74,35.63,32.0,0,0,,,,16000783.0,246007811.61
Sector x Year,CENTRAL SECTOR,2018,10,4,0,0.0,-2.25,-2.5,0,0,,,,637.0,182002990.0
Sector x Year,CENTRAL SECTOR,2019,13,13,12,92.31,18.92,14.0,0,0,,,,872.0,218002453.0
Sector x Year,CENTRAL SECTOR,2020,95,77,77,100.0,68.44,58.0,0,0,,,,8228.0,578013876.06
Sector x Year,CENTRAL SECTOR,2021,6,6,6,100.0,50.83,40.5,0,0,,,,240.0,84100323.0
Sector x Year,CENTRAL SECTOR,2022,125,118,117,99.15,51.19,45.5,0,0,,,,15581.0,894027591.91
Sector x Year,CENTRAL SECTOR,2023,195,172,169,98.26,46.98,42.0,0,0,,,,38714.0,1652062872.1
Sector x Year,CENTRAL SECTOR,2024,144,139,122,87.77,27.53,30.0,0,0,,,,17832.0,2161084290.46
Sector x Year,CIVIL AVIATION,2011,3,3,3,100.0,4.0,3.0,0,0,,,,107.0,8000076.0
Sector x Year,CIVIL AVIATION,2014,2,2,2,100.0,42.0,42.0,0,0,,,,54.0,8000074.0
Sector x Year,CIVIL AVIATION,2015,3,3,3,100.0,18.0,21.0,0,0,,,,96.0,8000145.0
Sector x Year,CIVIL AVIATION,2017,1,1,1,100.0,64.0,64.0,0,0,,,,18.0,4000069.0
Sector x Year,CIVIL AVIATION,2018,1,1,1,100.0,94.0,94.0,0,0,,,,68.0,4000050.0
Sector x Year,CIVIL AVIATION,2021,1,1,1,100.0,136.0,136.0,0,0,,,,161.0,4000040.0
Sector x Year,CIVIL AVIATION,2022,1,1,1,100.0,41.0,41.0,0,0,,,,127.0,4000084.0
Sector x Year,COAL,2010,1,1,1,100.0,15.0,15.0,0,0,,,,8.0,2.1
Sector x Year,COAL,2012,2,2,2,100.0,23.5,23.5,0,0,,,,132.0,25000040.0
Sector x Year,COAL,2013,2,2,2,100.0,31.0,31.0,0,0,,,,33.0,50000109.0
Sector x Year,COAL,2014,1,1,1,100.0,2.0,2.0,0,0,,,,6.0,6000019.0
Sector x Year,COAL,2015,3,3,3,100.0,50.67,57.0,0,0,,,,122.0,201471.35
Sector x Year,COAL,2016,5,5,5,100.0,27.4,23.0,0,0,,,,180.0,12000047.5
Sector x Year,COAL,2017,1,1,1,100.0,57.0,57.0,0,0,,,,44.0,3.0
Sector x Year,COAL,2018,1,1,1,100.0,57.0,57.0,0,0,,,,80.0,6000056.0
Sector x Year,COAL,2019,6,6,5,83.33,37.0,29.0,0,0,,,,448.0,6000155.0
Sector x Year,COAL,2020,7,7,6,85.71,49.43,60.0,0,0,,,,2380.0,30000428.5
Sector x Year,COAL,2021,5,5,5,100.0,22.2,20.0,0,0,,,,719.0,24000556.0
Sector x Year,COAL,2022,3,3,3,100.0,87.33,94.0,0,0,,,,399.0,12000232.5
Sector x Year,COAL,2023,4,4,4,100.0,59.75,33.0,0,0,,,,608.0,36000901.0
Sector x Year,COAL,2024,2,2,2,100.0,37.0,37.0,0,0,,,,12.0,12000212.0
Sector x Year,DEFENCE,2024,1,1,1,100.0,50.0,50.0,0,0,,,,61.0,28000103.0
Sector x Year,HEALTH AND FAMILY WELFARE,2017,2,2,2,100.0,23.5,23.5,0,0,,,,93.0,42000009.0
Sector x Year,HEALTH AND FAMILY WELFARE,2018,1,1,1,100.0,53.0,53.0,0,0,,,,6.0,21000006.0
Sector x Year,HEALTH AND FAMILY WELFARE,2019,1,1,1,100.0,7.0,7.0,0,0,,,,94.0,21000014.0
Sector x Year,HEALTH AND FAMILY WELFARE,2023,12,12,12,100.0,66.67,63.5,0,0,,,,690.0,252000155.0
Sector x Year,HEALTH AND FAMILY WELFARE,2024,1,1,1,100.0,41.0,41.0,0,0,,,,233.0,152.0
Sector x Year,MINES,2011,1,1,1,100.0,36.0,36.0,0,0,,,,44.0,100100054.0
Sector x Year,MINES,2017,2,2,2,100.0,12.0,12.0,0,0,,,,81.0,100.4
Sector x Year,PETROLEUM,2010,10,9,9,100.0,15.67,8.0,0,0,,,,16000440.0,720401784.0
Sector x Year,PETROLEUM,2011,9,9,9,100.0,15.44,18.0,0,0,,,,421.0,144000426.0
Sector x Year,PETROLEUM,2012,13,12,12,100.0,22.08,17.5,0,0,,,,623.0,160000552.0
Sector x Year,PETROLEUM,2013,14,13,13,100.0,15.77,11.0,0,0,,,,1659.5,192001792.72
Sector x Year,PETROLEUM,2014,22,22,21,95.45,38.0,32.0,0,0,,,,3004.79,900402302.0
Sector x Year,PETROLEUM,2015,18,18,17,94.44,31.78,27.5,0,0,,,,16000557.0,560202193.26
Sector x Year,PETROLEUM,2016,6,6,5,83.33,20.67,22.5,0,0,,,,331.0,80000676.0
Sector x Year,PETROLEUM,2017,16,16,15,93.75,22.19,12.5,0,0,,,,950.0,224002059.0
Sector x Year,PETROLEUM,2018,25,25,22,88.0,16.8,14.0,0,0,,,,1049.0,384004677.0
Sector x Year,PETROLEUM,2019,13,13,8,61.54,19.92,1.0,0,0,,,,3319.0,144002028.0
Sector x Year,PETROLEUM,2020,28,28,25,89.29,19.75,11.0,0,0,,,,1970.0,400005516.0
Sector x Year,PETROLEUM,2021,18,18,17,94.44,21.5,16.5,0,0,,,,32001869.0,256004582.58
Sector x Year,PETROLEUM,2022,35,35,33,94.29,19.77,15.0,0,0,,,,32004478.0,424010452.0
