project_id,legacy_ocms_code,agency,sector,cluster_id,cluster_label,distance_to_centroid,is_outlier
060100093,060100093,SECL,COAL,3,Mega Capital High-Value Infrastructure,3.5014,0
102000,N24001897,BRO,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.4497,0
105236,N24001476,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.659,0
10980,N24001745,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.1565,0
120000,N24001957,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.6653,0
120250,N24001632,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.0422,0
129000,N24001846,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.7306,0
132664,N24001477,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.933,0
134950,N24001899,BRO,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.573,0
14200,N24001998,BRO,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5535,0
144020,N24002097,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.4979,0
151330,N24001335,NHIDCL,ROAD TRANSPORT & HIGHWAYS,0,High Administrative Cost-Revision Volatility,1.4145,0
160000,N24001847,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5289,0
165500,N24001958,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.7602,0
170700,N24001953,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.6065,0
176000,N24001848,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5028,0
180100210,180100210,NHPC,POWER,3,Mega Capital High-Value Infrastructure,2.1275,0
180100221,180100221,NHPC,POWER,3,Mega Capital High-Value Infrastructure,2.1709,0
180100242,180100242,NTPC,POWER,3,Mega Capital High-Value Infrastructure,2.7417,0
188830,N24001415,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.8757,0
