project_id,legacy_ocms_code,agency,sector,project_size_category,original_cost_crore,original_cost_log,planned_duration_months,pre_paimana_obs_months,historical_schedule_revision_count,historical_cost_revision_count,pre_paimana_max_schedule_slippage_months,pre_paimana_max_cost_escalation_pct
060100093,060100093,SECL,COAL,Mega,11816.4,9.377328300604933,153.0,11,1,1,108.0,40.0
102000,N24001897,BRO,ROAD TRANSPORT & HIGHWAYS,Major,642.24,6.466517904985824,40.0,1,0,0,0.0,0.0
105236,N24001476,NHAI,ROAD TRANSPORT & HIGHWAYS,Major,517.05,6.250071762697761,12.0,2,0,0,0.0,0.0
10980,N24001745,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,1972.1,7.587361188975415,43.0,2,0,0,0.0,0.0
120000,N24001957,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,349.29,5.85876138283622,47.0,1,0,0,0.0,0.0
120250,N24001632,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,1741.86,7.463282721008953,40.0,2,0,0,0.0,0.0
129000,N24001846,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,1200.42,7.091259469522378,32.0,2,0,0,0.0,0.0
132664,N24001477,NHAI,ROAD TRANSPORT & HIGHWAYS,Major,622.0,6.434546518787453,12.0,2,0,1,0.0,40775.0
134950,N24001899,BRO,ROAD TRANSPORT & HIGHWAYS,Major,395.25,5.98204532519149,41.0,1,0,0,0.0,0.0
14200,N24001998,BRO,ROAD TRANSPORT & HIGHWAYS,Major,832.46,6.725585710637353,38.0,1,0,0,0.0,0.0
144020,N24002097,NHAI,ROAD TRANSPORT & HIGHWAYS,Major,526.45,6.268054074127818,31.0,1,0,0,0.0,0.0
151330,N24001335,NHIDCL,ROAD TRANSPORT & HIGHWAYS,Major,284.21,5.653225751039049,37.0,3,0,2,0.0,2.368866328257192
160000,N24001847,NHAI,ROAD TRANSPORT & HIGHWAYS,Major,956.14,6.8639496712446615,34.0,2,0,0,0.0,0.0
165500,N24001958,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,311.22,5.74370806752852,50.0,1,0,0,0.0,0.0
170700,N24001953,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,388.71,5.965402872780123,33.0,1,0,0,0.0,0.0
176000,N24001848,NHAI,ROAD TRANSPORT & HIGHWAYS,Major,909.02,6.8134665772913605,32.0,2,0,0,0.0,0.0
180100210,180100210,NHPC,POWER,Mega,3919.59,8.273997431663066,84.0,11,0,2,0.0,0.0
180100221,180100221,NHPC,POWER,Mega,6285.33,8.746132713593306,84.0,11,0,2,0.0,0.0
180100242,180100242,NTPC,POWER,Mega,8692.97,9.070384960887159,80.0,11,2,0,22.0,0.0
188830,N24001415,NHAI,ROAD TRANSPORT & HIGHWAYS,Major,881.0,6.782192056006791,40.0,3,0,1,0.0,0.0
19220,N24001882,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,496.64,6.2098769240462905,31.0,1,0,0,0.0,0.0
20223,N24002110,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,1207.4,7.097052449512517,38.0,1,0,0,0.0,0.0
220100181,220100181,CR,RAILWAYS,Mega,2539.0,7.8399193600125825,349.0,11,5,2,119.0,0.0
220100188,220100188,NR,RAILWAYS,Mega,2018.0,7.610357618312838,537.0,11,0,0,0.0,0.0
220100232,220100232,WCR,RAILWAYS,Mega,8913.94,9.095483800044644,342.0,11,0,1,0.0,0.0
220100257,220100257,ECR,RAILWAYS,Major,614.45,6.422353707556304,332.0,11,6,0,320.0,0.0
220100265,220100265,SCR,RAILWAYS,Mega,2500.98,7.824837697389792,315.0,11,3,1,119.0,0.0
220100272,220100272,ER,RAILWAYS,Mega,1188.91,7.081632952993362,227.0,11,1,0,111.0,0.0
220100284,220100284,ECOR,RAILWAYS,Mega,3550.0,8.174984532943087,392.0,11,4,0,78.0,0.0
220100303,220100303,ECR,RAILWAYS,Mega,2066.78,7.634230846990526,140.0,11,3,0,164.0,0.0
220100305,220100305,ECR,RAILWAYS,Mega,1625.87,7.394413202367234,251.0,11,7,1,143.0,0.0
220100314,220100314,WCR,RAILWAYS,Mega,3032.0,8.017307507688582,296.0,11,2,0,287.0,0.0
220100328,220100328,ECOR,RAILWAYS,Mega,1928.1,7.564808851893844,239.0,11,4,0,465.0,0.0
22700,N24001107,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,381.08,5.945630010764183,22.0,5,0,0,0.0,0.0
24000,N24002102,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,2165.23,7.680743608442476,75.0,1,0,0,0.0,0.0
24300,N24001841,NHAI,ROAD TRANSPORT & HIGHWAYS,Major,912.94,6.817764923785166,33.0,2,0,0,0.0,0.0
249000,N24001667,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,1734.0,7.45876269238096,32.0,2,0,1,0.0,29.40239043824701
260860,N24001417,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,1234.4,7.119150083261799,40.0,3,0,1,0.0,1859033.7722695584
262175,N24001274,NHIDCL,ROAD TRANSPORT & HIGHWAYS,Major,379.39,5.941197042207926,20.0,4,0,2,0.0,57850.0
26400,N24001840,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,535.03,6.284190129653785,37.0,2,0,1,0.0,2965.3846153846152
