target,model_family,configuration,num_features,val_pr_auc,val_roc_auc,val_brier,val_ece,oot_pr_auc,oot_roc_auc,oot_brier,oot_logloss,oot_ece,delta_oot_pr_auc,delta_oot_roc_auc,delta_oot_brier,precision_at_top_decile,oot_precision,oot_recall,oot_f1
schedule_delay_3m,RandomForest_Calibrated,Model A (PAIMANA-Only) [CHAMPION],75,0.991,0.9891,0.0134,0.0149,0.9722,0.9723,0.0391,0.171,0.0302,0.0,0.0,0.0,0.9894,0.9345,0.9933,0.963
schedule_delay_3m,RandomForest_Calibrated,Model B (PAIMANA + Valid Benchmarks),81,0.9906,0.9889,0.0124,0.0136,0.9713,0.971,0.0394,0.1748,0.0342,-0.0009,-0.0013,0.0003,0.9974,0.9349,0.9996,0.9661
schedule_delay_3m,RandomForest_Calibrated,Model C (PAIMANA + Outcome Stats Only),78,0.9906,0.9891,0.0123,0.0126,0.9714,0.9713,0.0391,0.1722,0.0317,-0.0008,-0.001,0.0,0.9921,0.9349,0.9996,0.9661
schedule_delay_3m,RandomForest_Calibrated,Model D (PAIMANA + Deviations Only),77,0.9897,0.9881,0.0125,0.0106,0.9712,0.972,0.0381,0.168,0.0288,-0.0011,-0.0004,-0.001,0.9921,0.9348,0.9978,0.9652
schedule_delay_3m,RandomForest_Calibrated,Model E (PAIMANA + Distance & Continuity),77,0.9898,0.9879,0.0123,0.0124,0.9711,0.9715,0.0386,0.1715,0.0299,-0.0011,-0.0009,-0.0005,0.9894,0.9349,0.9991,0.9659
schedule_delay_3m,RandomForest_Calibrated,Model F (Research: PAIMANA + Cluster ID),76,0.9897,0.9882,0.0135,0.0158,0.9711,0.9715,0.0388,0.1729,0.0302,-0.0012,-0.0009,-0.0003,0.9894,0.9356,0.9919,0.9629
cost_overrun_state_3m,BalancedRandomForest,Model A (PAIMANA-Only) [CHAMPION],75,0.9914,0.9921,0.0336,0.1365,0.9881,0.9895,0.0386,0.1892,0.1446,0.0,0.0,0.0,0.9974,0.9949,0.9735,0.9841
cost_overrun_state_3m,BalancedRandomForest,Model B (PAIMANA + Valid Benchmarks),81,0.9913,0.9919,0.033,0.133,0.9881,0.9894,0.0373,0.1839,0.1401,-0.0,-0.0001,-0.0014,0.9974,0.9949,0.9743,0.9845
cost_overrun_state_3m,BalancedRandomForest,Model C (PAIMANA + Outcome Stats Only),78,0.9913,0.9918,0.0304,0.1271,0.9877,0.989,0.0345,0.1769,0.135,-0.0004,-0.0005,-0.0041,0.9974,0.9958,0.9752,0.9854
cost_overrun_state_3m,BalancedRandomForest,Model D (PAIMANA + Deviations Only),77,0.9915,0.9921,0.0263,0.1171,0.988,0.9892,0.0302,0.1623,0.1226,-0.0001,-0.0003,-0.0084,0.9974,0.9949,0.9743,0.9845
cost_overrun_state_3m,BalancedRandomForest,Model E (PAIMANA + Distance & Continuity),77,0.9915,0.9917,0.0309,0.1297,0.9879,0.9891,0.0349,0.1781,0.1365,-0.0002,-0.0004,-0.0037,0.9974,0.9966,0.9752,0.9858
cost_overrun_state_3m,BalancedRandomForest,Model F (Research: PAIMANA + Cluster ID),76,0.9915,0.9921,0.0313,0.1327,0.9878,0.9896,0.0364,0.183,0.1411,-0.0003,0.0001,-0.0023,0.9974,0.9949,0.9776,0.9862
schedule_revision_3m,LogisticRegression_L2,Model A (PAIMANA-Only) [CHAMPION],75,0.0978,0.8192,0.0202,0.026,0.0519,0.8264,0.0176,0.0791,0.0202,0.0,0.0,0.0,0.0556,0.0976,0.0889,0.093
schedule_revision_3m,LogisticRegression_L2,Model B (PAIMANA + Valid Benchmarks),81,0.123,0.8318,0.0273,0.0368,0.0641,0.8455,0.0212,0.0843,0.0236,0.0121,0.0191,0.0036,0.0582,0.0946,0.1556,0.1176
schedule_revision_3m,LogisticRegression_L2,Model C (PAIMANA + Outcome Stats Only),78,0.1008,0.8255,0.0204,0.0266,0.0516,0.8271,0.0176,0.0789,0.0193,-0.0003,0.0007,0.0001,0.0582,0.0976,0.0889,0.093
schedule_revision_3m,LogisticRegression_L2,Model D (PAIMANA + Deviations Only),77,0.0969,0.8188,0.0206,0.0269,0.0525,0.827,0.0178,0.0793,0.02,0.0006,0.0006,0.0002,0.0582,0.0976,0.0889,0.093
schedule_revision_3m,LogisticRegression_L2,Model E (PAIMANA + Distance & Continuity),77,0.119,0.828,0.0266,0.0362,0.064,0.8443,0.0207,0.0827,0.0231,0.0121,0.0179,0.0032,0.0582,0.1014,0.1556,0.1228
schedule_revision_3m,LogisticRegression_L2,Model F (Research: PAIMANA + Cluster ID),76,0.0984,0.8193,0.0204,0.0267,0.0524,0.8265,0.0177,0.0794,0.0192,0.0005,0.0001,0.0001,0.0582,0.0976,0.0889,0.093
