feature,coefficient,abs_coefficient
table_source_t_Table 7: All Ongoing Projects,-2.1666353494239803,2.1666353494239803
months_since_last_schedule_revision_t,-1.441143120425625,1.441143120425625
table_source_t_Table 6: All Ongoing Projects,1.4249765132635086,1.4249765132635086
physical_progress_lag1,1.2745716408351604,1.2745716408351604
project_age_months_t,-0.95336991999176,0.95336991999176
focused_cohort_indicator_t,-0.8216385878895843,0.8216385878895843
months_since_last_cost_revision_t,0.6320403864025488,0.6320403864025488
progress_std_to_date_t,-0.5982628370927509,0.5982628370927509
months_to_revised_doc_t,-0.5973931948537601,0.5973931948537601
agency_active_project_count_t,-0.579016690254854,0.579016690254854
schedule_revision_count_to_date_t,-0.5745489395922742,0.5745489395922742
project_size_category_Small (<150Cr),-0.5702529470238631,0.5702529470238631
current_schedule_status_as_of_t_on_schedule,-0.5560485097772117,0.5560485097772117
table_source_t_Table 4: All Ongoing Projects,0.5541106087420066,0.5541106087420066
reporting_structure_version_t_v2_focused_cohort,-0.5083390112490325,0.5083390112490325
months_since_first_observed_t,-0.501761526955392,0.501761526955392
months_observed_to_date_t,-0.48748298738242113,0.48748298738242113
revised_cost_t,-0.4772523704628167,0.4772523704628167
consecutive_observation_count_t,-0.4747862353910813,0.4747862353910813
current_schedule_status_as_of_t_delayed_rescheduled,0.43020151722468003,0.43020151722468003
cumulative_expenditure_lag1,-0.4240650760608342,0.4240650760608342
longest_stagnation_to_date_t,-0.4058200424689571,0.4058200424689571
physical_progress_lag2,0.38678900021917484,0.38678900021917484
agency_mean_progress_t,-0.3700513443156689,0.3700513443156689
cumulative_expenditure_t,0.36945268528764214,0.36945268528764214
months_to_original_doc_t,-0.36324313240573936,0.36324313240573936
cluster_hist_median_delay_months_t,0.343693696133884,0.343693696133884
is_legacy_linked,-0.34121534530134573,0.34121534530134573
progress_change_2m_t,0.32712872948615934,0.32712872948615934
reporting_structure_version_t_v1_initial,0.320790783830563,0.320790783830563
stagnant_6m_t,-0.3132210273938993,0.3132210273938993
expenditure_velocity_6m_t,-0.2471217370623073,0.2471217370623073
project_size_category_Large (500-1000Cr),0.23084220462759694,0.23084220462759694
original_cost_crore,0.22951071140485094,0.22951071140485094
state_mean_progress_t,-0.22673752346327253,0.22673752346327253
observation_gap_flag_t,-0.21905439832301124,0.21905439832301124
observation_coverage_ratio_t,0.20032154108498942,0.20032154108498942
planned_duration_months,0.19355873093894388,0.19355873093894388
months_since_last_progress_increase_t,0.19118014528158742,0.19118014528158742
project_size_category_Medium (150-500Cr),0.18031308082249217,0.18031308082249217
has_cost_revision_t,0.16918639011150763,0.16918639011150763
missing_revised_cost_t,-0.16558963054078316,0.16558963054078316
progress_velocity_6m_t,-0.16441443878011053,0.16441443878011053
expenditure_growth_rate_t,-0.1634946427145992,0.1634946427145992
physical_progress_t,0.15944732637537842,0.15944732637537842
remaining_physical_progress_t,-0.15944732637537776,0.15944732637537776
cluster_slippage_deviation_t,0.15806768458417028,0.15806768458417028
progress_velocity_1m_t,0.15627242624160212,0.15627242624160212
progress_change_1m_t,0.15627242624160212,0.15627242624160212
state_mean_expenditure_ratio_t,-0.15275539309811656,0.15275539309811656
schedule_slippage_months_t,-0.15031301440417405,0.15031301440417405
cluster_distance_to_centroid_t,0.1494917255142199,0.1494917255142199
cumulative_expenditure_lag3,0.14216404082361186,0.14216404082361186
agency_mean_cost_t,-0.1333309439460071,0.1333309439460071
expenditure_change_1m_t,-0.1260821949582371,0.1260821949582371
monthly_expenditure_delta_t,-0.1260821949582371,0.1260821949582371
min_progress_to_date_t,0.1251113257119671,0.1251113257119671
stagnant_3m_t,0.12508992347393127,0.12508992347393127
avg_monthly_expenditure_to_date_t,-0.12428482583870683,0.12428482583870683
missing_revised_doc_t,0.12393142801175405,0.12393142801175405
has_revised_schedule_as_of_t,-0.12393142801175405,0.12393142801175405
state_median_progress_t,0.12198893736678836,0.12198893736678836
physical_progress_lag3,0.11466132980075013,0.11466132980075013
agency_mean_expenditure_ratio_t,0.10696216204308763,0.10696216204308763
stagnant_2m_t,-0.08556851740926925,0.08556851740926925
cost_escalation_pct_t,0.0817823436726944,0.0817823436726944
project_size_category_Unknown,-0.07989373807001744,0.07989373807001744
largest_cost_revision_pct_to_date_t,0.07428988187948403,0.07428988187948403
negative_expenditure_delta_flag_t,-0.06780493973506149,0.06780493973506149
current_schedule_status_as_of_t_past_due_breached,-0.06170123486593768,0.06170123486593768
max_progress_to_date_t,0.05867179708135387,0.05867179708135387
average_progress_to_date_t,0.05663606923132175,0.05663606923132175
missing_expenditure_t,0.05254986001745659,0.05254986001745659
project_size_category_Mega (>1000Cr),0.05144317222533085,0.05144317222533085
agency_median_progress_t,0.04886747957573381,0.04886747957573381
cluster_hist_delay_rate_smoothed_t,0.04783170808770643,0.04783170808770643
original_cost_log,0.046445958945922,0.046445958945922
cluster_hist_cost_revision_rate_t,0.040771933763585774,0.040771933763585774
progress_change_3m_t,0.04060775378857257,0.04060775378857257
progress_change_last_3m_t,0.04060775378857257,0.04060775378857257
progress_velocity_3m_t,0.04060775378857175,0.04060775378857175
expenditure_ratio_pct_t,-0.03730430789625954,0.03730430789625954
months_since_last_observation_t,-0.03386856789626264,0.03386856789626264
state_mean_cost_t,-0.025409746662665225,0.025409746662665225
state_active_project_count_t,0.02259018949074226,0.02259018949074226
missing_physical_progress_t,-0.01139469411403033,0.01139469411403033
expenditure_change_3m_t,0.010542400007204892,0.010542400007204892
expenditure_velocity_3m_t,0.010542400007204607,0.010542400007204607
cost_reduction_pct_as_of_t,0.0030885622388466183,0.0030885622388466183
cost_revision_count_to_date_t,-0.0024478289814852307,0.0024478289814852307
