feature,importance
cost_escalation_pct_t,0.1797638223336077
has_cost_revision_t,0.15905249274100783
largest_cost_revision_pct_to_date_t,0.12709407686601046
cumulative_expenditure_t,0.03590110644639402
agency_mean_expenditure_ratio_t,0.032179497831681045
expenditure_ratio_pct_t,0.02652709590536982
project_age_months_t,0.022798498735882407
revised_cost_t,0.020927353726036903
remaining_physical_progress_t,0.020000535856579238
original_cost_log,0.01796925054275951
max_progress_to_date_t,0.017593022823575933
min_progress_to_date_t,0.016883058154144225
cumulative_expenditure_lag1,0.016626202872578617
original_cost_crore,0.015616793829366262
physical_progress_t,0.014778029702798514
average_progress_to_date_t,0.013662533680017849
agency_mean_cost_t,0.013232058392693816
cluster_distance_to_centroid_t,0.012896048717550712
months_to_original_doc_t,0.011791022037686902
planned_duration_months,0.011486475584516632
agency_mean_progress_t,0.009683137781002417
agency_active_project_count_t,0.009633744121249744
cost_reduction_pct_as_of_t,0.009406096117222347
cluster_slippage_deviation_t,0.00886360810951224
agency_median_progress_t,0.00881047754827555
physical_progress_lag1,0.008709316127572014
months_to_revised_doc_t,0.0077020196427590145
reporting_structure_version_t_v2_focused_cohort,0.007580255830539615
project_size_category_Small (<150Cr),0.006897853475504071
cumulative_expenditure_lag3,0.006801817678976343
reporting_structure_version_t_v1_initial,0.006721498164784526
focused_cohort_indicator_t,0.006716124228606903
schedule_slippage_months_t,0.006183537878437355
state_mean_progress_t,0.006133246742634016
state_median_progress_t,0.005370287177931885
state_mean_expenditure_ratio_t,0.005367279330429386
state_mean_cost_t,0.005276973723847165
state_active_project_count_t,0.005179297618565202
cluster_hist_delay_rate_smoothed_t,0.004847735386248587
avg_monthly_expenditure_to_date_t,0.004212858594445877
physical_progress_lag2,0.004099344520124305
current_schedule_status_as_of_t_on_schedule,0.004010633773446917
expenditure_change_1m_t,0.0034255858803783792
progress_std_to_date_t,0.0031371216227110096
monthly_expenditure_delta_t,0.0031144378324871086
expenditure_growth_rate_t,0.003012008475178449
expenditure_velocity_3m_t,0.0027809876981681665
project_size_category_Medium (150-500Cr),0.002770087022474438
is_legacy_linked,0.002765985033471491
current_schedule_status_as_of_t_delayed_rescheduled,0.002751354813799472
has_revised_schedule_as_of_t,0.0027019173783664157
missing_physical_progress_t,0.0026363286836126897
missing_revised_doc_t,0.0025915076802116685
months_since_last_cost_revision_t,0.0025190458325241665
cluster_hist_median_delay_months_t,0.0023712440416663624
cluster_hist_cost_revision_rate_t,0.0023287793338792875
months_observed_to_date_t,0.0020599727005356583
physical_progress_lag3,0.002039322289408509
expenditure_change_3m_t,0.0019260657536963512
consecutive_observation_count_t,0.001459445261267613
schedule_revision_count_to_date_t,0.0014420655383902811
months_since_first_observed_t,0.0014418818262673277
cost_revision_count_to_date_t,0.0012431272306481162
project_size_category_Mega (>1000Cr),0.0012171300094354009
table_source_t_Table 7: All Ongoing Projects,0.0011041248469961307
progress_change_last_3m_t,0.001020327549270827
months_since_last_schedule_revision_t,0.0009798444168877087
progress_velocity_3m_t,0.0009713157104307117
progress_change_1m_t,0.0009607847982883028
progress_velocity_1m_t,0.0009453445891716845
longest_stagnation_to_date_t,0.0009230187575146089
progress_change_2m_t,0.0008466257726222298
progress_change_3m_t,0.0008261617157363914
missing_revised_cost_t,0.0007129614151215594
months_since_last_progress_increase_t,0.0005605484020202441
current_schedule_status_as_of_t_past_due_breached,0.0004775378574724337
missing_expenditure_t,0.0004272843449469838
project_size_category_Large (500-1000Cr),0.00038638137934444533
stagnant_2m_t,0.000384852208489513
table_source_t_Table 4: All Ongoing Projects,0.0003844741150498459
expenditure_velocity_6m_t,0.0002933112320691659
table_source_t_Table 6: All Ongoing Projects,0.00025070538608465946
months_since_last_observation_t,0.0002303441377356731
progress_velocity_6m_t,0.00018798647023968886
stagnant_3m_t,0.000104188053574627
current_schedule_status_as_of_t_missing_doc,9.878073002098657e-05
observation_coverage_ratio_t,8.207976246020623e-05
negative_expenditure_delta_flag_t,7.221003198530425e-05
observation_gap_flag_t,4.728402551402129e-05
stagnant_6m_t,0.0
