feature,importance
months_to_original_doc_t,0.2552323968191031
current_schedule_status_as_of_t_on_schedule,0.14724229746846587
current_schedule_status_as_of_t_past_due_breached,0.0885111390110828
min_progress_to_date_t,0.04400080743342321
max_progress_to_date_t,0.04397036919903413
average_progress_to_date_t,0.04286734861668702
expenditure_ratio_pct_t,0.03127426556500385
physical_progress_t,0.026460310924864488
remaining_physical_progress_t,0.02566352249955672
physical_progress_lag1,0.025125988595853747
schedule_slippage_months_t,0.023777386193263934
project_age_months_t,0.022443853364081088
agency_mean_progress_t,0.0181442780853989
agency_active_project_count_t,0.014386008578579178
physical_progress_lag2,0.013823169750299272
months_to_revised_doc_t,0.013441491909338967
current_schedule_status_as_of_t_delayed_rescheduled,0.011640484500658615
cumulative_expenditure_t,0.00964035520779377
planned_duration_months,0.009315410791002772
cluster_slippage_deviation_t,0.009087686217986966
cluster_hist_delay_rate_smoothed_t,0.008340766999973366
agency_mean_expenditure_ratio_t,0.007383191589938872
agency_median_progress_t,0.006429126127615305
state_active_project_count_t,0.005659513287455592
agency_mean_cost_t,0.004875293819840316
physical_progress_lag3,0.004809785539470531
revised_cost_t,0.004768591551902463
cumulative_expenditure_lag1,0.0047635127087635835
original_cost_crore,0.004464975053492069
original_cost_log,0.00432433858030121
cluster_distance_to_centroid_t,0.00430687579261945
cluster_hist_median_delay_months_t,0.0034289192867699666
state_mean_progress_t,0.0033099355937988855
missing_revised_doc_t,0.003250381293282663
reporting_structure_version_t_v2_focused_cohort,0.002872601441167152
state_mean_cost_t,0.0027686592155515615
state_median_progress_t,0.002494382274126834
state_mean_expenditure_ratio_t,0.0024793793285233286
reporting_structure_version_t_v1_initial,0.0022190872836114765
largest_cost_revision_pct_to_date_t,0.002206772087416669
cost_escalation_pct_t,0.0020958673767894668
avg_monthly_expenditure_to_date_t,0.002033378971019648
has_revised_schedule_as_of_t,0.0019013055979881207
months_observed_to_date_t,0.0018640556329901502
progress_std_to_date_t,0.001845540061006225
focused_cohort_indicator_t,0.001761050656316094
months_since_first_observed_t,0.0015254365419409127
consecutive_observation_count_t,0.0014201783246139074
longest_stagnation_to_date_t,0.0013906110016051088
schedule_revision_count_to_date_t,0.001387007157626751
monthly_expenditure_delta_t,0.0013654809681935554
expenditure_change_1m_t,0.0012848018387233249
expenditure_growth_rate_t,0.0012426360462150328
cumulative_expenditure_lag3,0.001144195439807374
expenditure_velocity_3m_t,0.001017886246292068
cluster_hist_cost_revision_rate_t,0.0010002253082928806
expenditure_velocity_6m_t,0.0008956397129411045
cost_reduction_pct_as_of_t,0.000825584255449435
months_since_last_schedule_revision_t,0.0007779823449390221
months_since_last_cost_revision_t,0.0007484812137073559
expenditure_change_3m_t,0.0007470284112757706
months_since_last_progress_increase_t,0.0007334564321231335
is_legacy_linked,0.0007299663998397689
progress_velocity_3m_t,0.0006818935765626789
table_source_t_Table 7: All Ongoing Projects,0.000669549540718064
progress_change_1m_t,0.0006255909634110679
progress_velocity_1m_t,0.0006090715551819248
project_size_category_Medium (150-500Cr),0.0005623624475734489
has_cost_revision_t,0.0005498634973980662
progress_change_2m_t,0.0005196195474773131
progress_change_last_3m_t,0.0005144972247833779
project_size_category_Mega (>1000Cr),0.0004933490234807507
progress_change_3m_t,0.0004917815939803381
progress_velocity_6m_t,0.0004731846147558048
table_source_t_Table 4: All Ongoing Projects,0.00036855117834880464
table_source_t_Table 6: All Ongoing Projects,0.00033710378921532276
missing_expenditure_t,0.00033410223322721187
missing_revised_cost_t,0.0003068994246553928
months_since_last_observation_t,0.0002966942837028051
missing_physical_progress_t,0.0002916954506101818
stagnant_2m_t,0.00024157550069296734
cost_revision_count_to_date_t,0.00020331456449194108
project_size_category_Large (500-1000Cr),0.00017706874633747864
stagnant_3m_t,0.00012187035303006652
project_size_category_Unknown,7.940944615989149e-05
observation_coverage_ratio_t,4.702428618056192e-05
project_size_category_Small (<150Cr),3.20036688880783e-05
observation_gap_flag_t,2.724849990096225e-05
negative_expenditure_delta_flag_t,2.219462439581111e-06
stagnant_6m_t,0.0
