probability_bin,bin_lower,bin_upper,sample_count,sample_pct,mean_predicted_probability,observed_positive_rate,absolute_calibration_error,model_family,calibration_method,split
0.0-0.1,0.0,0.1,1253,33.09,0.0315,0.0008,0.0307,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.1-0.2,0.1,0.2,126,3.33,0.1346,0.0,0.1346,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.2-0.3,0.2,0.3,25,0.66,0.2409,0.0,0.2409,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.3-0.4,0.3,0.4,16,0.42,0.3735,0.75,0.3765,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.4-0.5,0.4,0.5,121,3.2,0.4561,0.8264,0.3704,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.5-0.6,0.5,0.6,236,6.23,0.5569,0.8475,0.2906,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.6-0.7,0.6,0.7,491,12.97,0.6609,0.9165,0.2556,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.7-0.8,0.7,0.8,739,19.51,0.737,0.9513,0.2143,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.8-0.9,0.8,0.9,306,8.08,0.8593,0.951,0.0917,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.9-1.0,0.9,1.0,474,12.52,0.9465,0.9916,0.0451,FULL_MODEL,Uncalibrated_RF,TEST_OOT
0.0-0.1,0.0,0.1,1349,35.62,0.0083,0.0007,0.0075,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.1-0.2,0.1,0.2,30,0.79,0.1372,0.0,0.1372,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.2-0.3,0.2,0.3,10,0.26,0.2252,0.0,0.2252,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.3-0.4,0.3,0.4,14,0.37,0.3313,0.0,0.3313,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.4-0.5,0.4,0.5,2,0.05,0.4306,0.0,0.4306,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.5-0.6,0.5,0.6,1,0.03,0.535,0.0,0.535,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.6-0.7,0.6,0.7,15,0.4,0.6604,0.8667,0.2063,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.7-0.8,0.7,0.8,55,1.45,0.7518,0.8,0.0482,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.8-0.9,0.8,0.9,136,3.59,0.8555,0.8529,0.0025,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.9-1.0,0.9,1.0,2175,57.43,0.9803,0.9439,0.0363,FULL_MODEL,Sigmoid_Platt,TEST_OOT
0.0-0.1,0.0,0.1,1404,37.07,0.0021,0.0007,0.0014,FULL_MODEL,Isotonic,TEST_OOT
