feature_name,dtype,missing_pct,unique_count,constant_flag,near_constant_flag,review_status,reason
approval_start_date,str,1.15,268,False,False,PASS,Ready for tree-based modeling
original_completion_date,str,2.73,213,False,False,PASS,Ready for tree-based modeling
original_cost_crore,float64,0.56,2968,False,False,PASS,Ready for tree-based modeling
project_age_months_t,float64,1.15,378,False,False,PASS,Ready for tree-based modeling
planned_duration_months,float64,2.94,252,False,False,PASS,Ready for tree-based modeling
original_cost_log,float64,0.56,2968,False,False,PASS,Ready for tree-based modeling
project_size_category,str,0.0,5,False,False,PASS,Ready for tree-based modeling
physical_progress_t,float64,6.06,2372,False,False,PASS,Ready for tree-based modeling
cumulative_expenditure_t,float64,0.99,9705,False,False,PASS,Ready for tree-based modeling
revised_cost_t,float64,0.74,3168,False,False,PASS,Ready for tree-based modeling
revised_doc_t,str,67.14,141,False,False,PASS,Ready for tree-based modeling
cost_escalation_pct_t,float64,0.74,1985,False,False,PASS,Ready for tree-based modeling
expenditure_ratio_pct_t,float64,1.03,9988,False,False,PASS,Ready for tree-based modeling
remaining_physical_progress_t,float64,6.06,2372,False,False,PASS,Ready for tree-based modeling
schedule_slippage_months_t,float64,67.2,174,False,False,PASS,Ready for tree-based modeling
months_to_original_doc_t,float64,2.73,308,False,False,PASS,Ready for tree-based modeling
months_to_revised_doc_t,float64,67.14,190,False,False,PASS,Ready for tree-based modeling
physical_progress_lag1,float64,20.06,1604,False,False,PASS,Ready for tree-based modeling
physical_progress_lag2,float64,36.1,1494,False,False,PASS,Ready for tree-based modeling
physical_progress_lag3,float64,50.17,1373,False,False,PASS,Ready for tree-based modeling
progress_change_1m_t,float64,22.42,1738,False,False,PASS,Ready for tree-based modeling
progress_change_2m_t,float64,38.1,1893,False,False,PASS,Ready for tree-based modeling
progress_change_3m_t,float64,51.47,1814,False,False,PASS,Ready for tree-based modeling
progress_velocity_1m_t,float64,22.42,1738,False,False,PASS,Ready for tree-based modeling
progress_velocity_3m_t,float64,51.47,1815,False,False,PASS,Ready for tree-based modeling
progress_velocity_6m_t,float64,78.1,1070,False,False,PASS,Ready for tree-based modeling
max_progress_to_date_t,float64,3.48,2283,False,False,PASS,Ready for tree-based modeling
min_progress_to_date_t,float64,3.48,873,False,False,PASS,Ready for tree-based modeling
average_progress_to_date_t,float64,3.48,7270,False,False,PASS,Ready for tree-based modeling
progress_std_to_date_t,float64,0.0,7023,False,False,PASS,Ready for tree-based modeling
cumulative_expenditure_lag1,float64,17.24,8520,False,False,PASS,Ready for tree-based modeling
cumulative_expenditure_lag3,float64,47.5,5655,False,False,PASS,Ready for tree-based modeling
monthly_expenditure_delta_t,float64,17.65,6787,False,False,PASS,Ready for tree-based modeling
expenditure_change_1m_t,float64,17.65,6787,False,False,PASS,Ready for tree-based modeling
expenditure_change_3m_t,float64,47.51,6437,False,False,PASS,Ready for tree-based modeling
expenditure_velocity_3m_t,float64,47.51,6436,False,False,PASS,Ready for tree-based modeling
expenditure_velocity_6m_t,float64,74.98,3474,False,False,PASS,Ready for tree-based modeling
avg_monthly_expenditure_to_date_t,float64,17.24,9961,False,False,PASS,Ready for tree-based modeling
expenditure_growth_rate_t,float64,24.98,7868,False,False,PASS,Ready for tree-based modeling
negative_expenditure_delta_flag_t,int64,0.0,2,False,False,PASS,Ready for tree-based modeling
stagnant_2m_t,float64,20.06,2,False,False,PASS,Ready for tree-based modeling
stagnant_3m_t,float64,36.1,2,False,False,PASS,Ready for tree-based modeling
stagnant_6m_t,float64,69.1,2,False,False,PASS,Ready for tree-based modeling
months_since_last_progress_increase_t,int64,0.0,12,False,False,PASS,Ready for tree-based modeling
longest_stagnation_to_date_t,int64,0.0,12,False,False,PASS,Ready for tree-based modeling
progress_change_last_3m_t,float64,51.47,1814,False,False,PASS,Ready for tree-based modeling
has_cost_revision_t,int64,0.0,2,False,False,PASS,Ready for tree-based modeling
cost_revision_count_to_date_t,int64,0.0,4,False,False,PASS,Ready for tree-based modeling
months_since_last_cost_revision_t,int64,0.0,12,False,False,PASS,Ready for tree-based modeling
largest_cost_revision_pct_to_date_t,float64,0.56,1960,False,False,PASS,Ready for tree-based modeling
cost_reduction_pct_as_of_t,float64,0.56,494,False,False,PASS,Ready for tree-based modeling
has_revised_schedule_as_of_t,int64,0.0,2,False,False,PASS,Ready for tree-based modeling
schedule_revision_count_to_date_t,int64,0.0,5,False,False,PASS,Ready for tree-based modeling
months_since_last_schedule_revision_t,int64,0.0,4,False,False,PASS,Ready for tree-based modeling
current_schedule_status_as_of_t,str,0.0,4,False,False,PASS,Ready for tree-based modeling
months_observed_to_date_t,int64,0.0,12,False,False,PASS,Ready for tree-based modeling
first_observed_month,str,0.0,12,False,False,PASS,Ready for tree-based modeling
months_since_first_observed_t,int64,0.0,12,False,False,PASS,Ready for tree-based modeling
observation_coverage_ratio_t,float64,0.0,30,False,False,PASS,Ready for tree-based modeling
consecutive_observation_count_t,int64,0.0,12,False,False,PASS,Ready for tree-based modeling
months_since_last_observation_t,int64,0.0,9,False,False,PASS,Ready for tree-based modeling
missing_physical_progress_t,int64,0.0,2,False,False,PASS,Ready for tree-based modeling
missing_expenditure_t,int64,0.0,2,False,True,REVIEW,Near-constant feature (dominant value 99.01%)
missing_revised_cost_t,int64,0.0,2,False,True,REVIEW,Near-constant feature (dominant value 99.26%)
missing_revised_doc_t,int64,0.0,2,False,False,PASS,Ready for tree-based modeling
observation_gap_flag_t,int64,0.0,2,False,False,PASS,Ready for tree-based modeling
state_active_project_count_t,int64,0.0,101,False,False,PASS,Ready for tree-based modeling
state_mean_progress_t,float64,1.11,592,False,False,PASS,Ready for tree-based modeling
state_median_progress_t,float64,1.11,316,False,False,PASS,Ready for tree-based modeling
state_mean_cost_t,float64,0.56,615,False,False,PASS,Ready for tree-based modeling
state_mean_expenditure_ratio_t,float64,0.6,963,False,False,PASS,Ready for tree-based modeling
agency_active_project_count_t,int64,0.0,70,False,False,PASS,Ready for tree-based modeling
agency_mean_progress_t,float64,0.67,866,False,False,PASS,Ready for tree-based modeling
agency_median_progress_t,float64,0.67,444,False,False,PASS,Ready for tree-based modeling
agency_mean_cost_t,float64,0.14,859,False,False,PASS,Ready for tree-based modeling
agency_mean_expenditure_ratio_t,float64,0.19,1687,False,False,PASS,Ready for tree-based modeling
reporting_structure_version_t,str,0.0,3,False,False,PASS,Ready for tree-based modeling
focused_cohort_indicator_t,int64,0.0,2,False,False,PASS,Ready for tree-based modeling
table_source_t,str,0.0,3,False,False,PASS,Ready for tree-based modeling
