feature,train_mean,validation_mean,test_mean,train_std,test_std,ks_distance_test_vs_train,shift_flag,notes
physical_progress_t,51.61,55.95,58.44,33.94,35.15,0.1154,MILD_SHIFT,Mean shifted from 51.6 to 58.4
schedule_slippage_months_t,16.93,,,33.64,,,STABLE,Mean shifted from 16.9 to nan
cost_escalation_pct_t,135.21,106.15,153.35,1823.74,2771.38,0.1104,MILD_SHIFT,Mean shifted from 135.2 to 153.4
expenditure_ratio_pct_t,57.61,50.51,44.42,177.21,142.97,0.1103,MILD_SHIFT,Mean shifted from 57.6 to 44.4
project_age_months_t,75.56,68.59,65.8,63.5,49.67,0.1316,MILD_SHIFT,Mean shifted from 75.6 to 65.8
progress_velocity_3m_t,1.35,0.9,2.54,3.39,6.07,0.1253,MILD_SHIFT,Mean shifted from 1.4 to 2.5
monthly_expenditure_delta_t,98.67,27.64,35.89,1713.89,2318.94,0.1033,MILD_SHIFT,Mean shifted from 98.7 to 35.9
stagnant_3m_t,0.37,0.25,0.25,0.48,0.43,0.1204,MILD_SHIFT,Mean shifted from 0.4 to 0.3
longest_stagnation_to_date_t,1.13,1.68,1.82,1.34,2.12,0.1283,MILD_SHIFT,Mean shifted from 1.1 to 1.8
months_to_original_doc_t,-1.02,-8.68,-9.26,40.94,35.5,0.1438,MILD_SHIFT,Mean shifted from -1.0 to -9.3
consecutive_observation_count_t,3.96,4.69,5.55,2.25,3.83,0.2844,MODERATE_SHIFT,Mean shifted from 4.0 to 5.6
