temporal_split,risk_band,snapshot_count,pct_of_split,mean_integrated_score,empirical_schedule_delay_rate_pct,empirical_cost_overrun_rate_pct,empirical_schedule_revision_rate_pct
TRAIN,LOW,3551,40.29,0.0804,0.27,4.54,0.89
TRAIN,MODERATE,3220,36.53,0.4798,70.8,25.68,4.03
TRAIN,HIGH,1089,12.36,0.687,87.72,55.64,15.09
TRAIN,VERY_HIGH,954,10.82,0.8484,97.46,99.77,5.89
VALIDATION,LOW,945,30.64,0.0549,0.21,3.96,0.11
VALIDATION,MODERATE,1203,39.01,0.5241,88.62,11.23,1.19
VALIDATION,HIGH,489,15.86,0.7105,97.74,65.5,2.05
VALIDATION,VERY_HIGH,447,14.49,0.8331,99.1,100.0,3.6
TEST_OOT,LOW,1271,32.83,0.0682,0.08,6.13,0.0
TEST_OOT,MODERATE,1469,37.95,0.5171,83.73,12.45,1.69
TEST_OOT,HIGH,679,17.54,0.7197,90.58,76.83,0.6
TEST_OOT,VERY_HIGH,452,11.68,0.83,97.73,99.77,3.85
