feature_name,feature_type,train_mean,oot_mean,train_median,oot_median,normalized_mean_shift,ks_statistic,ks_pvalue,drift_flag
focused_cohort_indicator_t,numeric,0.72,0.0,1.0,0.0,-1.594,0.7177,0.0,SIGNIFICANT_DRIFT
months_since_first_observed_t,numeric,2.96,7.27,3.0,10.0,1.931,0.6197,0.0,SIGNIFICANT_DRIFT
agency_active_project_count_t,numeric,20.86,228.13,13.0,154.0,4.748,0.5674,0.0,SIGNIFICANT_DRIFT
state_mean_expenditure_ratio_t,numeric,0.85,0.44,0.52,0.4,-0.045,0.5297,5.43e-322,SIGNIFICANT_DRIFT
state_mean_cost_t,numeric,2460.53,1764.74,2075.97,1563.83,-0.248,0.4634,3.75e-321,SIGNIFICANT_DRIFT
months_observed_to_date_t,numeric,3.95,6.57,4.0,6.0,1.18,0.4072,6.36e-321,SIGNIFICANT_DRIFT
state_active_project_count_t,numeric,59.79,78.18,40.0,77.0,0.171,0.3956,7.5008707013888e-310,SIGNIFICANT_DRIFT
state_mean_progress_t,numeric,52.59,58.5,51.61,57.25,0.383,0.3907,3.348225110341786e-300,SIGNIFICANT_DRIFT
state_median_progress_t,numeric,55.45,65.1,55.0,65.0,0.475,0.3769,7.74111298954147e-279,SIGNIFICANT_DRIFT
has_revised_schedule_as_of_t,numeric,0.35,0.0,0.0,0.0,-0.742,0.355,2.943343891298606e-248,SIGNIFICANT_DRIFT
missing_revised_doc_t,numeric,0.65,1.0,1.0,1.0,0.742,0.355,2.943343891298606e-248,SIGNIFICANT_DRIFT
agency_mean_progress_t,numeric,50.07,57.45,49.17,60.55,0.333,0.3485,6.711285257108275e-238,SIGNIFICANT_DRIFT
agency_median_progress_t,numeric,48.47,61.84,48.5,68.99,0.475,0.3357,1.6867687104254163e-220,SIGNIFICANT_DRIFT
months_since_last_cost_revision_t,numeric,2.2,4.46,2.0,3.0,1.147,0.3333,2.71976688762688e-218,SIGNIFICANT_DRIFT
agency_mean_cost_t,numeric,2613.99,1766.22,1535.08,1290.98,-0.202,0.3289,1.5886913118145162e-212,SIGNIFICANT_DRIFT
observation_gap_flag_t,numeric,0.02,0.34,0.0,0.0,2.616,0.326,1.0948061605018335e-208,SIGNIFICANT_DRIFT
observation_coverage_ratio_t,numeric,1.0,0.85,1.0,1.0,-4.814,0.326,1.0948061605018335e-208,SIGNIFICANT_DRIFT
progress_std_to_date_t,numeric,2.04,6.0,0.32,2.68,0.861,0.3124,2.0659799252178143e-191,SIGNIFICANT_DRIFT
consecutive_observation_count_t,numeric,3.91,5.55,4.0,4.0,0.735,0.2842,4.8046976497236996e-158,SIGNIFICANT_DRIFT
planned_duration_months,numeric,74.91,56.54,60.0,43.0,-0.322,0.2418,5.569085094296692e-111,SIGNIFICANT_DRIFT
schedule_revision_count_to_date_t,numeric,1.07,0.86,1.0,1.0,-0.315,0.2306,1.125611051609371e-103,SIGNIFICANT_DRIFT
months_since_last_schedule_revision_t,numeric,0.3,0.0,0.0,0.0,-0.433,0.186,2.309389901862475e-67,SIGNIFICANT_DRIFT
progress_velocity_1m_t,numeric,1.4,2.51,0.0,0.65,0.157,0.1772,2.8935964751459106e-51,SIGNIFICANT_DRIFT
progress_change_1m_t,numeric,1.4,2.51,0.0,0.65,0.157,0.1772,2.8935964751459106e-51,SIGNIFICANT_DRIFT
agency_mean_expenditure_ratio_t,numeric,1.21,0.44,0.43,0.5,-0.087,0.1677,8.536303331017623e-55,SIGNIFICANT_DRIFT
progress_change_2m_t,numeric,2.59,6.27,1.0,1.25,0.416,0.1567,2.408026409097473e-33,SIGNIFICANT_DRIFT
stagnant_2m_t,numeric,0.51,0.36,1.0,0.0,-0.299,0.1496,1.0539349818466925e-37,STABLE
has_cost_revision_t,numeric,0.33,0.48,0.0,0.0,0.313,0.1473,2.498397659972834e-42,STABLE
months_to_original_doc_t,numeric,-0.83,-9.26,3.0,-5.0,-0.206,0.1453,3.337420681704084e-40,STABLE
physical_progress_lag3,numeric,47.09,56.72,47.0,65.0,0.295,0.1441,4.951203380050936e-24,STABLE
longest_stagnation_to_date_t,numeric,1.11,1.82,1.0,1.0,0.535,0.1392,7.368973749271083e-38,STABLE
max_progress_to_date_t,numeric,50.94,60.39,53.72,70.4,0.277,0.1318,2.289582094459254e-33,STABLE
expenditure_velocity_6m_t,numeric,47.69,24.33,7.5,7.17,-0.104,0.1282,4.779730070861715e-09,STABLE
revised_cost_t,numeric,3256.17,2170.16,929.1,778.8,-0.123,0.1263,3.704637905663943e-31,STABLE
progress_velocity_3m_t,numeric,1.32,2.54,0.66,1.0,0.346,0.1256,7.097620090370922e-18,STABLE
progress_change_3m_t,numeric,3.97,7.63,1.99,3.0,0.346,0.1256,7.097620090370922e-18,STABLE
progress_change_last_3m_t,numeric,3.97,7.63,1.99,3.0,0.346,0.1256,7.097620090370922e-18,STABLE
avg_monthly_expenditure_to_date_t,numeric,87.54,48.01,5.82,4.04,-0.035,0.1237,1.755987455115081e-26,STABLE
remaining_physical_progress_t,numeric,50.01,41.56,49.0,33.0,-0.247,0.1228,3.2575917326736884e-28,STABLE
physical_progress_t,numeric,49.99,58.44,51.0,67.0,0.247,0.1228,3.2575917326736884e-28,STABLE
original_cost_crore,numeric,2662.43,1775.58,769.93,705.83,-0.151,0.1216,5.940166012197104e-29,STABLE
original_cost_log,numeric,6.79,6.61,6.65,6.56,-0.123,0.1216,5.940166012197104e-29,STABLE
physical_progress_lag1,numeric,49.14,56.65,51.0,65.0,0.223,0.118,1.380260175476252e-23,STABLE
project_age_months_t,numeric,73.71,65.8,57.0,50.0,-0.125,0.1179,4.711532200463113e-27,STABLE
physical_progress_lag2,numeric,48.07,55.34,50.0,64.0,0.219,0.1166,3.2230131281680406e-19,STABLE
cumulative_expenditure_lag1,numeric,1587.08,1091.88,320.75,226.0,-0.112,0.1149,6.58719317121066e-23,STABLE
cumulative_expenditure_t,numeric,1587.42,1069.87,320.83,240.02,-0.117,0.1138,2.5427742126773737e-25,STABLE
cost_reduction_pct_as_of_t,numeric,1.01,3.24,0.0,0.0,0.338,0.1128,5.572604040215716e-25,STABLE
cost_escalation_pct_t,numeric,905.08,153.35,0.0,0.0,-0.079,0.1127,7.044530399997348e-25,STABLE
stagnant_3m_t,numeric,0.36,0.25,0.0,0.0,-0.233,0.112,9.143869898192125e-18,STABLE
cost_revision_count_to_date_t,numeric,0.29,0.39,0.0,0.0,0.178,0.1032,5.684850993895069e-21,STABLE
monthly_expenditure_delta_t,numeric,58.24,35.89,2.28,0.21,-0.012,0.0971,1.8827601135052152e-16,STABLE
expenditure_change_1m_t,numeric,58.24,35.89,2.28,0.21,-0.012,0.0971,1.8827601135052152e-16,STABLE
expenditure_change_3m_t,numeric,199.09,78.81,20.32,14.37,-0.067,0.0952,2.213485454717228e-11,STABLE
expenditure_velocity_3m_t,numeric,66.36,26.27,6.77,4.79,-0.067,0.0952,2.213485454717228e-11,STABLE
months_since_last_observation_t,numeric,0.84,0.93,1.0,1.0,0.243,0.0945,1.1659230900427302e-17,STABLE
expenditure_ratio_pct_t,numeric,84.6,44.42,44.49,36.77,-0.034,0.0912,2.089512046689311e-16,STABLE
months_since_last_progress_increase_t,numeric,0.98,1.04,0.0,0.0,0.039,0.0838,5.6644880682815044e-14,STABLE
min_progress_to_date_t,numeric,45.71,44.66,44.6,44.0,-0.031,0.0832,1.5414480275434693e-13,STABLE
cumulative_expenditure_lag3,numeric,1485.24,1192.39,292.59,286.9,-0.07,0.0758,2.2678343751934435e-07,STABLE
average_progress_to_date_t,numeric,48.43,53.5,50.0,58.0,0.149,0.0712,4.842407465767542e-10,STABLE
progress_velocity_6m_t,numeric,1.33,1.48,0.82,0.83,0.069,0.0678,0.020802967401120667,STABLE
largest_cost_revision_pct_to_date_t,numeric,1553.93,159.42,0.0,0.0,-0.06,0.0645,1.8372335944562288e-08,STABLE
expenditure_growth_rate_t,numeric,11.99,32.6,0.01,0.01,0.124,0.0604,5.603207179289441e-06,STABLE
missing_physical_progress_t,numeric,0.07,0.03,0.0,0.0,-0.144,0.0357,0.0069731101469939286,STABLE
stagnant_6m_t,numeric,0.11,0.13,0.0,0.0,0.085,0.0262,0.6572398677292219,STABLE
negative_expenditure_delta_flag_t,numeric,0.06,0.05,0.0,0.0,-0.045,0.011,0.9495262059484166,STABLE
missing_expenditure_t,numeric,0.01,0.0,0.0,0.0,-0.08,0.0068,0.9999377890366884,STABLE
missing_revised_cost_t,numeric,0.0,0.0,0.0,0.0,-0.056,0.0036,1.0,STABLE
