month,split,total_snapshots,positive_count,positive_rate_pct,roc_auc,pr_auc,precision_top10,recall_top10
2025-04,TRAIN,521,114,21.88,1.0,1.0,1.0,0.4649
2025-05,TRAIN,516,106,20.54,1.0,1.0,1.0,0.4906
2025-06,TRAIN,466,99,21.24,1.0,1.0,1.0,0.4747
2025-07,TRAIN,720,79,10.97,1.0,1.0,1.0,0.9114
2025-08,TRAIN,765,27,3.53,1.0,1.0,0.3506,1.0
2025-09,TRAIN,758,23,3.03,1.0,1.0,0.3026,1.0
2025-10,TRAIN,785,26,3.31,1.0,1.0,0.3291,1.0
2025-11,TRAIN,793,11,1.39,1.0,1.0,0.1375,1.0
2025-12,VALIDATION,1370,8,0.58,0.778,0.1971,0.0365,0.625
2026-01,VALIDATION,1671,14,0.84,0.5042,0.0086,0.0,0.0
2026-02,TEST_OOT,1910,17,0.89,0.4393,0.0083,0.0052,0.0588
2026-03,TEST_OOT,1879,19,1.01,0.4406,0.0102,0.0053,0.0526
