feature_name,train_pos_mean,train_pos_median,val_pos_mean,val_pos_median,oot_pos_mean,oot_pos_median,oot_vs_train_ratio
original_cost_crore,2592.45,1030.65,1505.5,972.67,2601.78,1856.36,1.0
cost_escalation_pct_t,5733.04,0.0,3.55,0.0,161.65,0.0,0.03
cumulative_expenditure_t,2079.4,727.29,865.39,400.4,2699.44,960.89,1.3
expenditure_ratio_pct_t,403.9,62.27,54.48,59.64,62.17,73.06,0.15
physical_progress_t,59.57,67.0,58.86,66.0,70.78,73.84,1.19
remaining_physical_progress_t,40.43,33.0,41.14,34.0,29.22,26.16,0.72
project_age_months_t,104.18,91.0,59.14,41.0,63.24,55.5,0.61
planned_duration_months,96.82,83.0,49.45,43.0,40.56,31.0,0.42
months_to_original_doc_t,-10.24,-2.0,-9.68,-1.0,-22.68,-16.5,2.21
schedule_slippage_months_t,18.91,5.0,,,,,
progress_velocity_3m_t,0.27,0.64,2.03,2.0,3.08,1.78,11.37
monthly_expenditure_delta_t,-272.53,6.33,-6.75,21.37,98.23,17.8,-0.36
expenditure_growth_rate_t,15.64,0.01,0.01,0.02,0.15,0.02,0.01
progress_velocity_1m_t,0.33,0.0,2.52,2.0,2.09,1.59,6.35
