feature_name,importance
original_cost_crore,0.0
project_age_months_t,0.0
planned_duration_months,0.0
original_cost_log,0.0
physical_progress_t,0.0
cumulative_expenditure_t,0.0
revised_cost_t,0.0
cost_escalation_pct_t,0.0
expenditure_ratio_pct_t,0.0
remaining_physical_progress_t,0.0
schedule_slippage_months_t,0.0
months_to_original_doc_t,0.0
months_to_revised_doc_t,0.0
physical_progress_lag1,0.0
physical_progress_lag2,0.0
physical_progress_lag3,0.0
progress_change_1m_t,0.0
progress_change_2m_t,0.0
progress_change_3m_t,0.0
progress_velocity_1m_t,0.0
progress_velocity_3m_t,0.0
progress_velocity_6m_t,0.0
max_progress_to_date_t,0.0
min_progress_to_date_t,0.0
average_progress_to_date_t,0.0
progress_std_to_date_t,0.0
cumulative_expenditure_lag1,0.0
cumulative_expenditure_lag3,0.0
monthly_expenditure_delta_t,0.0
expenditure_change_1m_t,0.0
expenditure_change_3m_t,0.0
expenditure_velocity_3m_t,0.0
expenditure_velocity_6m_t,0.0
avg_monthly_expenditure_to_date_t,0.0
expenditure_growth_rate_t,0.0
negative_expenditure_delta_flag_t,0.0
stagnant_2m_t,0.0
stagnant_3m_t,0.0
stagnant_6m_t,0.0
months_since_last_progress_increase_t,0.0
longest_stagnation_to_date_t,0.0
progress_change_last_3m_t,0.0
has_cost_revision_t,0.0
cost_revision_count_to_date_t,0.0
months_since_last_cost_revision_t,0.0
largest_cost_revision_pct_to_date_t,0.0
cost_reduction_pct_as_of_t,0.0
has_revised_schedule_as_of_t,0.0
schedule_revision_count_to_date_t,0.0
months_since_last_schedule_revision_t,0.0
months_observed_to_date_t,0.0
months_since_first_observed_t,0.0
observation_coverage_ratio_t,0.0
consecutive_observation_count_t,0.0
months_since_last_observation_t,0.0
missing_physical_progress_t,0.0
missing_expenditure_t,0.0
missing_revised_cost_t,0.0
missing_revised_doc_t,0.0
observation_gap_flag_t,0.0
state_active_project_count_t,0.0
state_mean_progress_t,0.0
state_median_progress_t,0.0
state_mean_cost_t,0.0
state_mean_expenditure_ratio_t,0.0
agency_active_project_count_t,0.0
agency_mean_progress_t,0.0
agency_median_progress_t,0.0
agency_mean_cost_t,0.0
agency_mean_expenditure_ratio_t,0.0
focused_cohort_indicator_t,0.0
project_size_category_Large (500-1000Cr),0.0
project_size_category_Medium (150-500Cr),0.0
project_size_category_Mega (>1000Cr),0.0
project_size_category_Small (<150Cr),0.0
current_schedule_status_as_of_t_delayed_rescheduled,0.0
current_schedule_status_as_of_t_missing_doc,0.0
current_schedule_status_as_of_t_on_schedule,0.0
current_schedule_status_as_of_t_past_due_breached,0.0
reporting_structure_version_t_v1_initial,0.0
reporting_structure_version_t_v2_focused_cohort,0.0
table_source_t_Table 4: All Ongoing Projects,0.0
table_source_t_Table 6: All Ongoing Projects,0.0
table_source_t_Table 7: All Ongoing Projects,0.0
