pdf_filename,report_month,tables_detected,ongoing_rows_extracted,completed_rows_extracted,newly_added_rows_extracted,total_rows_extracted,rows_rejected,warnings
FRApril2025.pdf,2025-04,completed; newly_added; north_east; ongoing,1659,34,26,1719,0,None
FR_JUNE_2025.pdf,2025-06,completed; newly_added; north_east; ongoing,1586,42,5,1633,0,None
FR_May2025.pdf,2025-05,completed; newly_added; north_east; ongoing,1641,40,15,1696,0,None
FlashReport_April2026.pdf,2026-04,completed; newly_added; north_east; ongoing,1986,9,55,2050,4,"FlashReport_April2026.pdf P.75: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_April2026.pdf P.159: Missing project_id for 'Jharkhand, Madhya Pradesh,'; FlashReport_April2026.pdf P.159: Missing project_id for 'Jharkhand, Madhya Pradesh,'"
FlashReport_August_2025.pdf,2025-08,north_east; ongoing,809,0,0,809,9,"FlashReport_August_2025.pdf P.44: Missing project_id for ''; FlashReport_August_2025.pdf P.52: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_August_2025.pdf P.52: Missing project_id for ''"
FlashReport_December_2025.pdf,2025-12,completed; newly_added; north_east; ongoing,1402,17,20,1439,10,"FlashReport_December_2025.pdf P.57: Missing project_id for ''; FlashReport_December_2025.pdf P.65: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_December_2025.pdf P.65: Missing project_id for ''"
FlashReport_February_2026.pdf,2026-02,completed; newly_added; north_east; ongoing,1953,9,268,2230,4,"FlashReport_February_2026.pdf P.84: Missing project_id for 'Project Assessment, Infrastruc'; FlashReport_February_2026.pdf P.164: Missing project_id for 'Jharkhand, Madhya Pradesh,'; FlashReport_February_2026.pdf P.164: Missing project_id for 'Jharkhand, Madhya Pradesh,'"
FlashReport_January_2026.pdf,2026-01,completed; newly_added; north_east; ongoing,1711,3,203,1917,9,"FlashReport_January_2026.pdf P.70: Missing project_id for ''; FlashReport_January_2026.pdf P.77: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_January_2026.pdf P.77: Missing project_id for ''"
FlashReport_July_2025.pdf,2025-07,north_east; ongoing,801,0,0,801,10,"FlashReport_July_2025.pdf P.37: Missing project_id for 'Odisha, Tamil Nadu, Telangana,'; FlashReport_July_2025.pdf P.44: Missing project_id for ''; FlashReport_July_2025.pdf P.51: Missing project_id for 'Mizoram, Nagaland, Sikkim,'"
FlashReport_June_2026.pdf,2026-06,completed; newly_added; north_east; ongoing,1850,130,17,1997,3,"FlashReport_June_2026.pdf P.78: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_June_2026.pdf P.157: Missing project_id for 'Jharkhand, Madhya Pradesh,'; FlashReport_June_2026.pdf P.157: Missing project_id for 'Jharkhand, Madhya Pradesh,'"
FlashReport_March_2026.pdf,2026-03,completed; newly_added; north_east; ongoing,1945,26,12,1983,3,"FlashReport_March_2026.pdf P.74: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_March_2026.pdf P.154: Missing project_id for 'Jharkhand, Madhya Pradesh,'; FlashReport_March_2026.pdf P.154: Missing project_id for 'Jharkhand, Madhya Pradesh,'"
FlashReport_May2026.pdf,2026-05,completed; newly_added; north_east; ongoing,1992,16,35,2043,4,"FlashReport_May2026.pdf P.74: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_May2026.pdf P.159: Missing project_id for 'Jharkhand, Madhya Pradesh,'; FlashReport_May2026.pdf P.159: Missing project_id for 'Project Assessment, Infrastruc'"
FlashReport_November_2025.pdf,2025-11,completed; newly_added; north_east; ongoing,834,13,21,868,10,"FlashReport_November_2025.pdf P.49: Missing project_id for ''; FlashReport_November_2025.pdf P.57: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_November_2025.pdf P.57: Missing project_id for ''"
FlashReport_October_2025.pdf,2025-10,completed; newly_added; north_east; ongoing,830,6,35,871,10,"FlashReport_October_2025.pdf P.50: Missing project_id for ''; FlashReport_October_2025.pdf P.57: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_October_2025.pdf P.57: Missing project_id for ''"
FlashReport_September_2025.pdf,2025-09,completed; newly_added; north_east; ongoing,804,6,35,845,10,"FlashReport_September_2025.pdf P.50: Missing project_id for ''; FlashReport_September_2025.pdf P.57: Missing project_id for 'Mizoram, Nagaland, Sikkim,'; FlashReport_September_2025.pdf P.57: Missing project_id for ''"
