project_id,project_name,agency,state,prediction_month,evaluation_month,last_observed_month,original_completion_date,last_known_physical_progress,last_known_revised_completion_date,whether_in_completed_projects,whether_reappears_in_later_reports,suspected_exit_reason,confidence_or_evidence,final_resolution_status
060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY 6-2010 3/2023,SECL,"6,584.29 77.20 CHHATTISGARH COAL",2025-04,2025-07,2025-04,2023-03,,2026-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
101280,TWO-LANING OF HAYULIANG? HAWAI BYPASS ROAD ON EPC BASIS FROM DESIGN KM. 51.825 TO KM. 63.131 EXISTI 1-2017 5/2023,NHIDCL,ARUNACHAL PRADESH,2025-04,2025-07,2025-04,2023-05,63.59,2023-05,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
102000,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 102 TO KM 13 3-2021 7/2024,BRO,133.82 29.50 JAMMU AND KASHMIR,2025-04,2025-07,2025-04,2024-07,95.0,2025-03,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
105236,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH 365BG FROM RECHARLA VI 9-2021 9/2022,NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2022-09,90.14,2024-09,Yes,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
10980,KANPUR LUCKNOW EXPRESSWAY PKG-1 CONSTRUCTION OF 6-LANE TO EIGHT LANE OF KANPUR LUCKNOW EXPRESSWAY (N 12-2021 7/2025,NHAI,UTTAR PRADESH,2025-04,2025-07,2025-04,2025-07,61.53,2025-07,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
120000,2LPS OF KOYYURU TO CHAPRATHIPALEM SECTION OF NH 516E 8-2020 7/2024 {6/2025},MoRTH,ANDHRA PRADESH,2025-04,2025-07,2025-04,2024-07,76.0,2025-06,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
120250,CONSTRUCTION OF FOUR LANE GREENFIELD PROJECT OF DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-V) FROM 1-2021 5/2024,NHAI,PUNJAB,2025-04,2025-07,2025-04,2024-05,96.0,2025-06,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
12800,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADUM 3-2023 9/2026 {9/2026},NHIDCL,MEGHALAYA,2025-04,2025-07,2025-04,2026-09,28.0,2026-09,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
129000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM YERRAGUDIPADU 129.000 KM. TO AUDIREDDIPALLE 160.000 KM. 2-2023 10/2025 {10/2025},NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2025-10,5.2,2025-10,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
12920,SILCHAR VAIRENGTE SAIRANG ROAD PKG-2 3-2023 8/2026 {8/2026},NHIDCL,ASSAM,2025-04,2025-07,2025-04,2026-08,63.52,2026-08,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
